,02_01_2020,02_02_2020,02_03_2020,02_04_2020,02_05_2020,02_06_2020,02_07_2020,02_08_2020,02_09_2020,02_10_2020,02_11_2020,02_12_2020,02_13_2020,02_14_2020,02_15_2020,02_16_2020,02_17_2020,02_18_2020,02_19_2020,02_20_2020,02_21_2020,02_22_2020,02_23_2020,02_24_2020,02_25_2020,02_26_2020,02_27_2020,02_28_2020,02_29_2020,03_01_2020,03_02_2020,03_03_2020,03_04_2020,03_05_2020,03_06_2020,03_07_2020,03_08_2020,03_09_2020,03_10_2020,03_11_2020,03_12_2020,03_13_2020,03_14_2020,03_15_2020,03_16_2020,03_17_2020,03_18_2020,03_19_2020,03_20_2020,03_21_2020,03_22_2020,03_23_2020,03_24_2020,03_25_2020,03_26_2020,03_27_2020,03_28_2020,03_29_2020,03_30_2020,03_31_2020,04_01_2020,04_02_2020,04_03_2020,04_04_2020,04_05_2020,04_06_2020,04_07_2020,04_08_2020,04_09_2020,04_10_2020,04_11_2020,04_12_2020,04_13_2020,04_14_2020,04_15_2020,04_16_2020,04_17_2020,04_18_2020,04_19_2020,04_20_2020,04_21_2020,04_22_2020,04_23_2020,04_24_2020,04_25_2020,04_26_2020,04_27_2020,04_28_2020,04_29_2020,04_30_2020,05_01_2020,05_02_2020,05_03_2020,05_04_2020,05_05_2020,05_06_2020,05_07_2020,05_08_2020,05_09_2020,05_10_2020,05_11_2020,05_12_2020,05_13_2020,05_14_2020,05_15_2020,05_16_2020,05_17_2020,05_18_2020,05_19_2020,05_20_2020,05_21_2020,05_22_2020,05_23_2020,05_24_2020,05_25_2020,05_26_2020,05_27_2020,05_28_2020,05_29_2020,05_30_2020,05_31_2020,06_01_2020,06_02_2020,06_03_2020,06_04_2020,06_05_2020,06_06_2020,06_07_2020,06_08_2020,06_09_2020,06_10_2020,06_11_2020,06_12_2020,06_13_2020,06_14_2020,06_15_2020,06_16_2020,06_17_2020,06_18_2020,06_19_2020,06_20_2020,06_21_2020,06_22_2020,06_23_2020,06_24_2020,06_25_2020,06_26_2020,06_27_2020,06_28_2020,06_29_2020,06_30_2020,07_01_2020,07_02_2020,07_03_2020,07_04_2020,07_05_2020,07_06_2020,07_07_2020,07_08_2020,07_09_2020,07_10_2020,07_11_2020,07_12_2020,07_13_2020,07_14_2020,07_15_2020,07_16_2020,07_17_2020,07_18_2020,07_19_2020,07_20_2020,07_21_2020,07_22_2020,07_23_2020,07_24_2020,07_25_2020,07_26_2020,07_27_2020,07_28_2020,07_29_2020,07_30_2020,07_31_2020,08_01_2020,08_02_2020,08_03_2020,08_04_2020,08_05_2020,08_06_2020,08_07_2020,08_08_2020,08_09_2020,08_10_2020,08_11_2020,08_12_2020,08_13_2020,08_14_2020,08_15_2020,08_16_2020,08_17_2020,08_18_2020,08_19_2020,08_20_2020,08_21_2020,08_22_2020,08_23_2020,08_24_2020,08_25_2020,08_26_2020,08_27_2020,08_28_2020,08_29_2020,08_30_2020,08_31_2020,09_01_2020,09_02_2020,09_03_2020,09_04_2020,09_05_2020,09_06_2020,09_07_2020,09_08_2020,09_09_2020,09_10_2020,09_11_2020,09_12_2020,09_13_2020,09_14_2020,09_15_2020,09_16_2020,09_17_2020,09_18_2020,09_19_2020,09_20_2020,09_21_2020,09_22_2020,09_23_2020,09_24_2020,09_25_2020,09_26_2020,09_27_2020,09_28_2020,09_29_2020,09_30_2020,10_01_2020,10_02_2020,10_03_2020,10_04_2020,10_05_2020,10_06_2020,10_07_2020,10_08_2020,10_09_2020,10_10_2020,10_11_2020,10_12_2020,10_13_2020,10_14_2020,10_15_2020,10_16_2020,10_17_2020,10_18_2020,10_19_2020,10_20_2020,10_21_2020,10_22_2020,10_23_2020,10_24_2020,10_25_2020,10_26_2020,10_27_2020,10_28_2020,10_29_2020,10_30_2020,10_31_2020,11_01_2020,11_02_2020,11_03_2020,11_04_2020,11_05_2020,11_06_2020,11_07_2020,11_08_2020,11_09_2020,11_10_2020,11_11_2020,11_12_2020,11_13_2020,11_14_2020,11_15_2020,11_16_2020,11_17_2020,11_18_2020,11_19_2020,11_20_2020,11_21_2020,11_22_2020,11_23_2020,11_24_2020,11_25_2020,11_26_2020,11_27_2020,11_28_2020,11_29_2020,11_30_2020,12_01_2020,12_02_2020,12_03_2020,12_04_2020,12_05_2020,12_06_2020,12_07_2020,12_08_2020,12_09_2020,12_10_2020,12_11_2020,12_12_2020,12_13_2020,12_14_2020,12_15_2020,12_16_2020,12_17_2020,12_18_2020,12_19_2020,12_20_2020,12_21_2020,12_22_2020,12_23_2020,12_24_2020,12_25_2020,12_26_2020,12_27_2020,12_28_2020,12_29_2020,12_30_2020,12_31_2020,01_01_2021,01_02_2021,01_03_2021,01_04_2021,01_05_2021,01_06_2021,01_07_2021,01_08_2021,01_09_2021,01_10_2021,01_11_2021,01_12_2021,01_13_2021,01_14_2021,01_15_2021,01_16_2021,01_17_2021,01_18_2021,01_19_2021,01_20_2021,01_21_2021,01_22_2021,01_23_2021,01_24_2021,01_25_2021,01_26_2021,01_27_2021,01_28_2021,01_29_2021,01_30_2021,01_31_2021,02_01_2021,02_02_2021,02_03_2021,02_04_2021,02_05_2021,02_06_2021,02_07_2021,02_08_2021,02_09_2021,02_10_2021,02_11_2021,02_12_2021,02_13_2021,02_14_2021,02_15_2021,02_16_2021,02_17_2021,02_18_2021,02_19_2021,02_20_2021,02_21_2021,02_22_2021,02_23_2021,02_24_2021,02_25_2021,02_26_2021,02_27_2021,02_28_2021,03_01_2021,03_02_2021,03_03_2021,03_04_2021,03_05_2021,03_06_2021,03_07_2021,03_08_2021,03_09_2021,03_10_2021,03_11_2021,03_12_2021,03_13_2021,03_14_2021,03_15_2021,03_16_2021,03_17_2021,03_18_2021,03_19_2021,03_20_2021,03_21_2021,03_22_2021,03_23_2021,03_24_2021,03_25_2021,03_26_2021,03_27_2021,03_28_2021,03_29_2021,03_30_2021,03_31_2021,04_01_2021,04_02_2021,04_03_2021,04_04_2021,04_05_2021,04_06_2021,04_07_2021,04_08_2021,04_09_2021,04_10_2021,04_11_2021,04_12_2021,04_13_2021,04_14_2021,04_15_2021,04_16_2021,04_17_2021,04_18_2021,04_19_2021,04_20_2021,04_21_2021,04_22_2021,04_23_2021,04_24_2021,04_25_2021,04_26_2021,04_27_2021,04_28_2021,04_29_2021,04_30_2021,05_01_2021,05_02_2021,05_03_2021,05_04_2021,05_05_2021,05_06_2021,05_07_2021,05_08_2021,05_09_2021,05_10_2021,05_11_2021,05_12_2021,05_13_2021,05_14_2021,05_15_2021,05_16_2021,05_17_2021,05_18_2021,05_19_2021,05_20_2021,05_21_2021,05_22_2021,05_23_2021,05_24_2021,05_25_2021,05_26_2021,05_27_2021,05_28_2021,05_29_2021,05_30_2021,05_31_2021,06_01_2021,06_02_2021,06_03_2021,06_04_2021,06_05_2021,06_06_2021,06_07_2021,06_08_2021,06_09_2021,06_10_2021,06_11_2021,06_12_2021,06_13_2021,06_14_2021,06_15_2021,06_16_2021,06_17_2021,06_18_2021,06_19_2021,06_20_2021,06_21_2021,06_22_2021,06_23_2021,06_24_2021,06_25_2021,06_26_2021,06_27_2021,06_28_2021,06_29_2021,06_30_2021,07_01_2021,07_02_2021,07_03_2021,07_04_2021,07_05_2021,07_06_2021,07_07_2021,07_08_2021,07_09_2021,07_10_2021,07_11_2021,07_12_2021,07_13_2021,07_14_2021,07_15_2021,07_16_2021,07_17_2021,07_18_2021,07_19_2021,07_20_2021,07_21_2021,07_22_2021,07_23_2021,07_24_2021,07_25_2021,07_26_2021,07_27_2021,07_28_2021,07_29_2021,07_30_2021,07_31_2021,08_01_2021,08_02_2021,08_03_2021,08_04_2021,08_05_2021,08_06_2021,08_07_2021,08_08_2021,08_09_2021,08_10_2021,08_11_2021,08_12_2021,08_13_2021,08_14_2021,08_15_2021,08_16_2021,08_17_2021,08_18_2021,08_19_2021,08_20_2021,08_21_2021,08_22_2021,08_23_2021,08_24_2021,08_25_2021,08_26_2021,08_27_2021,08_28_2021,08_29_2021,08_30_2021,08_31_2021,09_01_2021,09_02_2021,09_03_2021,09_04_2021,09_05_2021,09_06_2021,09_07_2021,09_08_2021,09_09_2021,09_10_2021,09_11_2021,09_12_2021,09_13_2021,09_14_2021,09_15_2021,09_16_2021,09_17_2021,09_18_2021,09_19_2021,09_20_2021,09_21_2021,09_22_2021,09_23_2021,09_24_2021,09_25_2021,09_26_2021,09_27_2021,09_28_2021,09_29_2021,09_30_2021,10_01_2021,10_02_2021,10_03_2021,10_04_2021,10_05_2021,10_06_2021,10_07_2021,10_08_2021,10_09_2021,10_10_2021,10_11_2021,10_12_2021,10_13_2021,10_14_2021,10_15_2021,10_16_2021,10_17_2021,10_18_2021,10_19_2021,10_20_2021,10_21_2021,10_22_2021,10_23_2021,10_24_2021,10_25_2021,10_26_2021,10_27_2021,10_28_2021,10_29_2021,10_30_2021,10_31_2021,11_01_2021,11_02_2021,11_03_2021,11_04_2021,11_05_2021,11_06_2021,11_07_2021,11_08_2021,11_09_2021,11_10_2021,11_11_2021
Business Offered calls,273.0,153.0,303.0,282.0,410.0,454.0,501.0,231.0,177.0,406.0,321.0,328.0,302.0,307.0,243.0,157.0,401.0,319.0,384.0,322.0,309.0,226.0,141.0,382.0,400.0,379.0,391.0,436.0,219.0,209.0,367.0,312.0,726.0,466.0,450.0,249.0,154.0,496.0,345.0,340.0,350.0,308.0,214.0,238.0,469.0,441.0,433.0,350.0,384.0,228.0,154.0,397.0,378.0,468.0,466.0,463.0,249.0,191.0,415.0,390.0,462.0,448.0,534.0,324.0,180.0,509.0,432.0,426.0,573.0,487.0,193.0,141.0,530.0,565.0,456.0,512.0,348.0,174.0,122.0,197.0,618.0,476.0,523.0,463.0,257.0,158.0,565.0,498.0,746.0,485.0,235.0,271.0,236.0,486.0,468.0,393.0,441.0,519.0,208.0,143.0,391.0,418.0,357.0,399.0,400.0,264.0,166.0,409.0,360.0,388.0,351.0,429.0,258.0,222.0,170.0,512.0,423.0,364.0,381.0,221.0,145.0,420.0,372.0,371.0,372.0,186.0,192.0,136.0,540.0,484.0,361.0,403.0,409.0,219.0,156.0,398.0,434.0,404.0,358.0,348.0,256.0,219.0,454.0,423.0,380.0,380.0,404.0,264.0,178.0,362.0,408.0,504.0,381.0,457.0,272.0,209.0,424.0,434.0,424.0,383.0,368.0,262.0,194.0,387.0,364.0,169.0,353.0,373.0,260.0,173.0,449.0,335.0,404.0,432.0,407.0,281.0,198.0,478.0,410.0,484.0,546.0,421.0,307.0,217.0,202.0,501.0,478.0,469.0,484.0,347.0,230.0,417.0,533.0,445.0,360.0,394.0,327.0,283.0,510.0,422.0,438.0,492.0,395.0,291.0,239.0,406.0,427.0,506.0,516.0,329.0,260.0,210.0,565.0,505.0,452.0,398.0,416.0,305.0,173.0,454.0,235.0,534.0,409.0,425.0,275.0,178.0,465.0,380.0,426.0,364.0,377.0,240.0,167.0,433.0,400.0,403.0,389.0,384.0,281.0,160.0,513.0,438.0,474.0,425.0,430.0,242.0,183.0,421.0,501.0,417.0,507.0,462.0,262.0,188.0,205.0,467.0,401.0,463.0,402.0,263.0,172.0,438.0,390.0,420.0,382.0,217.0,255.0,156.0,399.0,477.0,413.0,461.0,397.0,340.0,178.0,432.0,624.0,430.0,402.0,477.0,281.0,152.0,563.0,582.0,438.0,496.0,448.0,244.0,162.0,407.0,382.0,375.0,375.0,436.0,278.0,191.0,416.0,495.0,430.0,454.0,390.0,291.0,258.0,553.0,530.0,515.0,451.0,417.0,290.0,283.0,544.0,272.0,489.0,569.0,479.0,309.0,206.0,626.0,534.0,409.0,348.0,452.0,327.0,200.0,427.0,405.0,424.0,378.0,395.0,269.0,207.0,416.0,418.0,503.0,363.0,189.0,206.0,194.0,438.0,413.0,263.0,187.0,473.0,309.0,184.0,496.0,410.0,380.0,406.0,393.0,325.0,217.0,407.0,258.0,399.0,345.0,420.0,280.0,174.0,418.0,400.0,460.0,431.0,449.0,268.0,204.0,487.0,449.0,372.0,357.0,416.0,247.0,191.0,457.0,404.0,387.0,437.0,396.0,287.0,217.0,373.0,417.0,417.0,366.0,379.0,285.0,211.0,386.0,340.0,330.0,278.0,345.0,213.0,196.0,488.0,390.0,426.0,358.0,413.0,254.0,183.0,369.0,378.0,427.0,406.0,315.0,241.0,181.0,389.0,379.0,375.0,355.0,304.0,227.0,226.0,536.0,469.0,419.0,385.0,374.0,290.0,157.0,354.0,346.0,416.0,424.0,395.0,248.0,188.0,382.0,380.0,354.0,421.0,386.0,268.0,184.0,466.0,355.0,359.0,330.0,320.0,221.0,173.0,340.0,342.0,433.0,338.0,369.0,251.0,164.0,364.0,349.0,400.0,365.0,244.0,171.0,149.0,141.0,362.0,402.0,434.0,403.0,251.0,168.0,393.0,363.0,389.0,197.0,372.0,249.0,163.0,447.0,369.0,412.0,390.0,369.0,233.0,189.0,180.0,366.0,361.0,419.0,452.0,304.0,186.0,474.0,550.0,398.0,412.0,393.0,222.0,182.0,407.0,428.0,401.0,411.0,429.0,432.0,189.0,467.0,844.0,587.0,570.0,330.0,337.0,229.0,477.0,488.0,474.0,486.0,401.0,345.0,237.0,474.0,469.0,514.0,715.0,498.0,495.0,401.0,638.0,541.0,478.0,546.0,468.0,417.0,334.0,557.0,514.0,518.0,523.0,549.0,398.0,306.0,482.0,397.0,428.0,467.0,474.0,356.0,309.0,503.0,531.0,524.0,517.0,677.0,456.0,313.0,324.0,539.0,579.0,523.0,471.0,315.0,244.0,605.0,492.0,448.0,405.0,417.0,363.0,244.0,443.0,406.0,418.0,421.0,506.0,354.0,262.0,475.0,359.0,357.0,434.0,408.0,285.0,227.0,461.0,372.0,492.0,393.0,408.0,269.0,191.0,423.0,404.0,199.0,400.0,373.0,266.0,183.0,456.0,401.0,412.0,390.0,375.0,272.0,177.0,415.0,343.0,403.0,417.0,456.0,261.0,177.0,406.0,403.0,453.0,479.0,388.0,232.0,153.0,608.0,327.0,457.0,449.0,553.0,338.0,254.0,297.0,488.0,390.0,413.0,403.0,264.0,177.0,374.0,370.0,338.0,344.0,370.0,239.0,162.0,367.0,357.0,363.0,350.0,338.0,227.0,185.0,393.0,425.0,400.0,402.0,375.0,260.0,179.0,384.0,393.0,314.0,343.0
Business Answered calls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.0,350.0,358.0,348.0,337.0,224.0,184.0,386.0,414.0,396.0,400.0,368.0,258.0,174.0,382.0,391.0,310.0,339.0
Business Accessibility rate (%),97.8,100.0,99.01,99.65,99.51,98.24,96.81,98.7,99.44,98.03,99.07,98.48,99.01,98.7,99.59,97.45,98.25,100.0,98.18,98.45,99.68,100.0,100.0,98.43,99.0,97.89,98.72,97.94,100.0,97.13,98.37,100.0,92.01,99.36,98.22,97.99,98.7,97.98,99.42,97.94,99.71,99.03,97.2,97.48,98.93,99.32,99.31,99.14,98.7,98.25,98.7,99.24,99.47,98.93,96.57,99.14,98.39,100.0,99.28,99.23,99.13,99.33,98.31,99.07,97.78,98.62,99.54,98.83,98.95,98.77,99.48,98.58,99.62,97.17,98.9,99.22,98.85,99.43,99.18,99.49,97.41,99.58,99.43,99.57,99.61,100.0,97.17,99.6,96.51,95.67,97.45,98.89,83.47,98.15,98.72,98.73,98.87,97.5,97.12,100.0,99.49,99.52,99.16,99.0,98.75,97.73,99.4,99.51,98.89,99.74,98.29,98.37,98.45,96.4,99.41,98.63,99.05,98.63,99.21,97.29,100.0,98.81,99.73,99.46,99.46,100.0,99.48,99.26,100.0,99.17,100.0,98.76,99.51,100.0,100.0,99.25,99.77,97.52,99.44,98.56,99.22,98.17,99.78,97.87,99.47,98.16,98.76,98.48,99.44,98.9,99.02,97.82,98.95,98.67,98.16,99.04,99.29,98.62,98.82,99.48,99.18,98.47,98.45,98.97,99.45,100.0,99.43,99.46,97.31,98.84,99.55,99.4,99.75,99.54,99.02,99.29,99.49,98.74,99.02,98.97,98.17,99.05,98.37,98.62,99.5,99.4,97.91,98.72,99.59,98.56,99.13,99.52,98.31,98.43,99.44,98.22,99.39,96.82,97.84,98.34,99.54,99.39,99.49,100.0,98.74,99.01,98.83,99.8,98.84,99.7,100.0,99.52,98.76,98.22,98.67,99.25,99.52,98.36,98.27,99.78,98.3,98.69,97.8,99.06,99.27,97.19,98.06,99.74,98.83,98.35,98.67,99.17,97.01,98.85,98.75,98.01,97.69,99.22,99.29,98.75,99.42,99.54,98.1,97.18,98.84,97.93,98.91,98.1,98.2,99.28,98.22,97.62,99.62,99.47,99.02,98.29,98.5,99.57,98.76,98.86,98.84,98.86,99.23,99.29,98.95,99.08,99.22,99.36,97.99,98.74,97.58,98.92,98.74,97.35,97.75,97.22,98.72,98.37,99.5,98.95,97.51,100.0,98.22,97.08,97.49,98.99,98.88,97.54,99.38,98.77,99.48,99.73,98.93,98.39,97.48,99.48,98.32,97.17,97.44,97.36,98.21,98.97,96.51,97.11,98.49,99.61,98.67,97.6,98.28,98.23,93.93,98.16,97.96,97.89,97.7,97.73,98.54,97.76,97.57,99.27,99.43,98.67,96.02,95.0,98.83,98.77,98.11,98.15,98.48,98.51,98.07,97.84,98.8,96.82,98.62,97.88,98.54,97.94,99.09,99.03,98.86,98.93,98.94,97.73,97.83,98.59,99.27,99.74,99.51,98.98,97.54,96.77,99.51,98.45,99.25,99.42,98.57,98.57,98.85,99.28,99.5,98.48,99.54,98.0,97.76,98.04,98.15,98.0,98.92,99.72,98.32,99.19,99.48,97.81,99.75,98.45,98.86,99.24,97.91,97.7,99.46,99.04,97.6,99.73,98.94,99.65,99.05,98.96,99.71,99.7,98.92,98.55,99.53,99.49,99.18,98.72,100.0,100.0,98.55,98.82,98.91,100.0,98.68,98.36,99.26,98.41,98.76,97.79,98.2,100.0,99.47,99.72,98.36,98.68,95.58,95.71,98.93,99.05,98.7,99.2,98.62,98.09,99.44,97.98,99.28,98.35,98.73,98.79,97.87,99.48,98.95,98.87,99.76,99.22,99.63,96.74,100.0,99.44,99.72,99.39,99.06,100.0,98.27,99.71,97.37,99.08,99.7,99.73,98.41,100.0,99.45,99.43,99.0,99.43,99.59,99.42,98.66,100.0,99.72,99.0,99.08,99.75,99.2,97.62,100.0,99.17,98.97,98.98,99.19,100.0,99.39,99.78,100.0,99.51,97.69,98.37,96.57,100.0,99.44,98.63,99.45,98.57,98.67,98.68,98.39,99.58,98.0,99.75,99.27,98.73,99.1,100.0,100.0,99.53,99.75,98.3,99.07,96.99,98.41,99.14,94.55,97.44,97.54,96.97,97.63,96.94,99.16,99.59,99.37,99.18,99.25,96.52,97.89,99.16,98.29,98.05,97.48,99.6,97.58,96.76,97.96,98.52,99.37,97.8,98.29,97.36,96.11,96.59,92.61,98.84,98.66,98.54,97.24,95.1,98.96,99.5,99.53,98.72,98.73,99.16,98.38,98.61,99.44,93.89,97.87,97.93,97.37,94.57,96.6,97.96,98.62,98.28,98.3,97.14,93.44,96.03,96.75,98.44,99.01,98.32,99.45,98.36,97.97,99.51,99.76,100.0,98.62,98.59,99.24,98.32,99.44,97.76,97.93,98.77,97.89,98.68,98.7,99.73,98.37,97.46,99.26,97.03,98.43,98.58,99.75,98.49,99.0,99.46,98.12,98.36,98.46,99.5,98.79,98.72,98.67,98.53,100.0,99.76,99.42,99.5,99.28,99.12,99.62,99.44,98.52,99.26,98.9,98.96,98.45,98.71,96.08,94.9,99.39,98.47,97.1,98.19,95.86,97.64,98.99,97.13,97.95,98.06,99.5,98.86,98.87,98.93,99.19,98.52,99.42,99.19,99.16,99.38,99.73,98.04,98.62,99.43,99.7,98.68,99.46,98.22,97.41,99.0,99.5,98.13,99.23,97.21,99.48,99.49,98.73,98.83
Business Service Level (20 sec) (%),89.01,99.35,93.07,91.13,90.49,79.96,78.44,85.71,89.83,88.18,89.1,88.72,89.74,86.97,90.53,91.08,89.53,94.36,88.8,92.24,96.76,96.9,97.87,90.31,93.0,86.81,89.51,86.47,96.8,89.95,86.38,94.29,68.04,91.2,90.0,85.54,85.71,83.67,93.62,90.59,94.86,88.31,84.11,76.05,78.68,88.21,81.06,93.14,93.23,94.74,93.51,93.2,87.83,86.54,81.12,85.96,89.16,94.24,92.29,90.51,81.39,88.17,85.77,83.02,88.89,78.78,82.41,83.33,77.84,80.29,86.53,96.45,76.98,80.88,89.69,85.55,91.38,95.98,93.44,96.95,71.52,81.3,80.5,79.27,87.16,95.57,67.26,73.49,56.17,57.73,91.91,90.04,71.19,72.22,76.07,82.7,77.78,79.0,79.33,96.5,87.72,85.65,83.75,88.72,84.75,85.61,89.16,86.55,90.83,89.18,91.74,87.41,93.02,84.23,94.12,87.11,88.89,86.81,87.93,89.14,91.72,79.76,88.17,91.37,91.67,94.09,86.46,94.85,87.59,83.68,94.46,86.6,87.78,89.04,91.67,92.96,92.86,80.45,90.78,88.51,86.72,86.76,89.65,87.94,90.0,91.58,87.62,85.98,94.94,91.99,85.54,81.55,84.25,78.56,83.46,86.6,79.25,84.79,82.78,90.6,89.67,79.77,86.6,85.01,90.66,98.22,82.44,87.94,81.54,90.17,83.74,90.45,94.06,93.52,90.91,83.27,89.39,85.36,82.2,84.3,87.18,90.02,78.83,91.71,91.58,86.43,77.62,86.57,78.72,77.23,80.87,79.14,74.11,82.25,85.0,88.83,80.12,79.15,75.29,81.75,86.07,80.89,89.11,91.41,85.77,89.9,86.89,84.39,86.63,91.49,86.54,84.29,77.88,76.24,82.3,85.43,88.7,81.31,85.55,87.44,94.04,77.72,86.55,86.59,89.82,80.34,81.51,91.32,80.05,84.07,87.27,87.92,77.25,89.84,88.0,84.62,86.12,89.84,86.48,93.75,77.97,83.33,82.49,83.06,86.05,81.82,91.26,80.76,79.44,82.73,76.92,78.35,87.79,92.55,93.66,76.66,83.29,83.37,84.58,85.17,89.53,82.65,85.38,86.67,89.27,87.1,85.88,82.05,78.45,81.34,87.89,83.95,84.89,83.82,85.96,80.32,79.97,79.3,86.57,84.28,78.65,87.5,70.87,67.7,73.74,81.25,82.14,77.87,83.33,78.13,82.2,89.6,86.4,86.24,78.78,92.67,84.86,79.6,76.74,75.99,80.0,73.2,71.71,71.43,70.94,66.41,74.72,70.26,69.66,60.42,62.5,66.54,63.39,64.32,72.03,70.87,84.47,68.05,69.85,82.64,83.05,78.54,52.91,67.5,74.47,80.0,80.66,83.33,81.52,71.75,73.43,68.75,78.23,73.36,81.82,85.71,83.01,88.14,79.91,79.42,73.38,90.37,87.1,83.17,80.98,77.02,85.85,89.47,91.87,87.53,70.46,77.42,87.96,89.53,84.46,89.28,85.24,85.71,89.08,86.84,90.0,81.52,90.02,79.06,77.24,92.16,74.13,76.39,88.71,93.84,91.35,89.07,92.15,76.59,87.38,85.53,91.53,90.91,84.67,76.04,83.65,85.85,83.69,90.44,88.92,87.02,93.36,90.67,96.47,93.03,89.21,90.72,91.55,89.8,81.15,95.38,89.67,90.78,81.84,83.46,88.52,89.97,92.33,79.16,86.45,85.71,86.72,83.43,88.17,91.03,90.4,90.99,84.54,87.22,69.91,67.35,79.53,84.49,90.39,91.44,88.97,92.36,86.16,85.26,79.81,79.95,81.27,82.26,82.45,89.01,88.42,84.18,82.42,87.82,82.84,86.41,90.77,90.99,86.91,92.42,93.13,90.05,88.44,90.59,91.52,90.76,92.31,91.87,92.03,93.29,93.13,93.7,89.75,95.4,91.39,94.74,87.92,90.78,95.86,86.57,84.56,89.83,93.23,88.1,92.11,96.69,85.86,93.91,90.05,89.56,90.8,95.08,96.21,93.2,93.85,89.16,80.69,96.3,95.0,94.26,98.06,87.59,87.17,85.86,94.62,92.19,83.64,92.21,89.81,93.13,91.89,85.71,88.21,91.59,92.77,85.64,91.14,79.4,86.24,87.79,60.66,68.31,69.12,80.91,65.88,79.91,80.92,85.86,85.44,85.39,83.54,71.3,82.28,87.76,83.58,75.49,67.41,79.72,77.58,69.83,70.06,79.67,78.03,67.58,76.71,71.22,62.87,57.63,58.37,85.91,87.57,78.14,63.32,66.67,85.27,91.44,83.64,86.08,86.08,87.36,77.67,76.34,85.31,83.59,80.46,81.39,70.61,57.19,67.59,79.41,74.78,76.48,78.34,71.11,66.8,63.14,76.83,77.23,89.14,92.33,91.18,90.98,85.1,92.61,94.5,93.82,90.71,89.27,86.26,92.42,97.21,90.2,84.56,92.16,89.47,89.87,84.16,90.32,75.2,82.95,85.05,78.07,81.68,86.05,89.6,88.94,82.5,87.67,83.46,86.89,84.21,87.78,90.78,82.05,86.4,86.76,89.27,83.61,92.71,86.1,88.97,91.89,91.57,96.61,88.42,91.56,88.3,83.51,81.96,87.07,86.93,66.28,85.02,77.02,74.39,70.89,71.3,70.47,78.11,72.34,81.79,83.78,83.37,73.86,89.83,88.77,86.76,86.69,88.95,88.65,89.12,87.65,90.19,81.51,91.18,89.14,88.17,87.22,88.65,81.42,78.82,84.25,86.57,85.33,83.08,78.21,91.15,87.53,87.58,86.3
