Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,2922,2917,2905,2823,94,5,5,5,0,13:57:44,2:35:50,:06:50,:00:18,:01:39,:01:22,12,9,3,6,6,2,6,4,5,41,2149,150,96,69,67,54,35,31,33,139,97.18,73.98,2.82,79.14,2.51,82.44,2.41,84.82,2.20,87.13,2.00,156:12:07,:11:09,156:23:16,3:15:04,159:38:20,222,3,:08:43,,,,2820,3,0,156:03:38,:08:29,:00:00,3:14:56,:00:08,:00:00,:03:33
10/25/2021,Nov_DVB_Pre_Platinum,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:29,:00:00,:00:29,:00:06,:00:35,0,1,:00:04,Nov_DVB_Res_all_othe,Nov_Res_Tech_Platinu,0,1,0,0,:00:29,:00:00,:00:00,:00:06,:00:00,:00:00,:00:33
10/25/2021,Nov_RONA_Fix_Res_all,2,2,2,2,0,0,0,0,0,:00:45,:00:00,:00:00,:00:22,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,100.00,50.00,.00,50.00,.00,50.00,.00,100.00,.00,100.00,.00,:04:00,:00:00,:04:00,:00:11,:04:11,1,1,:00:38,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,2,0,0,:04:00,:00:00,:00:00,:00:11,:00:00,:00:00,:02:22
10/25/2021,Nov_RONA_Fix_Res_Pla,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:05:05,:00:00,:05:05,:00:06,:05:11,0,1,:00:05,Nov_Fix_Res_Platinum,Nov_Res_Tech_Platinu,0,1,0,0,:05:05,:00:00,:00:00,:00:06,:00:00,:00:00,:05:10
10/25/2021,Nov_RONA_Res_Other_s,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:45,:00:00,:00:45,:00:02,:00:47,0,1,:00:04,Nov_Res_Other_segmen,0,0,1,0,0,:00:45,:00:00,:00:00,:00:02,:00:00,:00:00,:00:49
10/25/2021,Nov_Transfer_L2,6,5,5,3,2,1,1,1,0,:00:36,:09:14,:00:21,:00:12,:04:37,:00:21,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,60.00,20.00,40.00,60.00,40.00,60.00,40.00,60.00,20.00,60.00,20.00,:08:49,:00:00,:08:49,:00:15,:09:04,1,1,:08:43,Nov_Transfer L2,0,0,3,0,0,:08:49,:00:00,:00:00,:00:15,:00:00,:00:00,:03:10
10/25/2021,Nov_Transfer_L1,122,122,122,121,1,0,0,0,0,:47:49,:00:12,:00:00,:00:24,:00:12,,0,1,0,0,0,0,0,0,0,0,94,3,1,5,0,2,0,1,3,12,99.18,77.05,.82,79.51,.00,80.33,.00,84.43,.00,84.43,.00,9:13:37,:01:25,9:15:02,:15:15,9:30:17,4,3,:03:24,Nov_Transfer L1,Nov_Res_Tech_Other_s,0,121,0,0,9:13:37,:00:00,:00:00,:15:15,:00:00,:00:00,:04:57
10/25/2021,Nov_Fix_Prospect,130,129,129,126,3,1,1,1,0,:30:05,:09:23,:05:25,:00:14,:03:08,:05:25,0,0,0,0,0,0,0,0,0,3,102,7,3,2,3,1,0,1,2,5,97.67,79.07,2.33,84.50,2.33,86.82,2.33,88.37,2.33,90.70,2.33,7:35:29,:00:01,7:35:30,:11:13,7:46:43,5,2,:05:31,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,126,0,0,7:35:29,:00:00,:00:00,:11:13,:00:00,:00:00,:03:51
10/25/2021,Nov_Fix_Pre_New,6,6,6,6,0,0,0,0,0,:01:48,:00:00,:00:00,:00:18,,,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,100.00,66.67,.00,66.67,.00,83.33,.00,83.33,.00,83.33,.00,:08:23,:00:01,:08:24,:00:31,:08:55,4,1,:01:10,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,6,0,0,:08:23,:00:00,:00:00,:00:31,:00:00,:00:00,:01:42
10/25/2021,Nov_Fix_Pre_Bronze,20,20,20,19,1,0,0,0,0,:15:07,:00:58,:00:00,:00:48,:00:58,,0,0,0,0,0,1,0,0,0,0,10,3,1,0,0,0,0,1,1,3,95.00,50.00,5.00,65.00,5.00,70.00,5.00,70.00,5.00,70.00,5.00,1:00:10,:00:00,1:00:10,:01:45,1:01:55,3,2,:06:45,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,19,0,0,1:00:10,:00:00,:00:00,:01:45,:00:00,:00:00,:03:49
