Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,3328,3318,3298,3015,303,10,10,10,0,29:40:04,9:41:27,:04:48,:00:35,:01:55,:00:29,20,12,22,22,18,9,9,13,32,146,1819,207,148,130,95,71,90,64,47,344,91.42,55.15,8.58,61.43,8.22,65.92,7.55,69.86,6.88,72.74,6.34,183:33:00,:09:11,183:42:11,3:54:53,187:37:04,222,7,:09:53,,,,3008,7,0,183:12:30,:20:30,:00:00,3:54:23,:00:30,:00:00,:04:01
11/2/2021,Nov_DVB_Res_Gold,108,108,105,98,10,0,0,0,0,:35:16,:08:28,:00:00,:00:22,:00:51,,3,0,2,0,3,0,0,1,0,1,75,2,1,5,3,1,1,2,1,7,93.33,71.43,6.67,73.33,6.67,74.29,4.76,79.05,4.76,81.90,1.90,9:33:29,:00:01,9:33:30,:06:49,9:40:19,3,2,:03:57,Nov_DVB_Res_all_othe,Nov_Res_Tech_Other_s,0,98,0,0,9:33:29,:00:00,:00:00,:06:49,:00:00,:00:00,:05:43
11/2/2021,Nov_RONA_DVB_Res_all,1,1,1,1,0,0,0,0,0,:01:28,:00:00,:00:00,:01:28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:04:03,:00:00,:04:03,:00:06,:04:09,0,1,:01:28,Nov_DVB_Res_all_othe,Nov_Res_Tech_Other_s,0,1,0,0,:04:03,:00:00,:00:00,:00:06,:00:00,:00:00,:05:31
11/2/2021,Nov_RONA_DVB_Res_Pla,1,1,1,1,0,0,0,0,0,:00:30,:00:00,:00:00,:00:30,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100.00,.00,.00,.00,.00,100.00,.00,100.00,.00,100.00,.00,:16:31,:00:00,:16:31,:00:02,:16:33,0,1,:00:30,Nov_DVB_Res_Platinum,Nov_Res_Tech_Platinu,0,1,0,0,:16:31,:00:00,:00:00,:00:02,:00:00,:00:00,:17:01
11/2/2021,Nov_RONA_Fix_Res_all,3,3,3,3,0,0,0,0,0,:00:13,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:07:33,:00:00,:07:33,:00:13,:07:46,1,1,:00:07,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,3,0,0,:07:33,:00:00,:00:00,:00:13,:00:00,:00:00,:02:35
11/2/2021,Nov_RONA_Fix_Res_Pla,1,1,1,1,0,0,0,0,0,:01:17,:00:00,:00:00,:01:17,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:06:00,:00:00,:06:00,:00:06,:06:06,0,1,:01:17,Nov_Fix_Res_Platinum,Nov_Res_Tech_Platinu,0,1,0,0,:06:00,:00:00,:00:00,:00:06,:00:00,:00:00,:07:17
11/2/2021,Nov_RONA_Prospect,1,1,1,0,1,0,0,0,0,:00:00,:00:15,:00:00,,:00:15,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,100.00,.00,.00,.00,.00,.00,.00,.00,.00,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:15,Nov_Prospect,0,0,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00,:00:15
11/2/2021,Nov_RONA_Res_Tech_Ot,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:19,:00:00,:03:19,:00:04,:03:23,0,1,:00:05,Nov_Res_Tech_Other_s,0,0,1,0,0,:03:19,:00:00,:00:00,:00:04,:00:00,:00:00,:03:24
11/2/2021,Nov_RONA_Res_Other_s,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:16,:00:00,:01:16,:00:03,:01:19,0,1,:00:03,Nov_Res_Other_segmen,0,0,1,0,0,:01:16,:00:00,:00:00,:00:03,:00:00,:00:00,:01:19
11/2/2021,Nov_Transfer_L2,6,5,5,5,0,1,1,1,0,:00:40,:00:00,:00:21,:00:08,,:00:21,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,100.00,60.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:15:05,:00:00,:15:05,:00:24,:15:29,0,1,:00:21,Nov_Transfer L2,0,0,5,0,0,:15:05,:00:00,:00:00,:00:24,:00:00,:00:00,:02:41
