,10_24_2021
RCC Offered calls,887.0
RCC Answered calls,873.0
RCC Accessibility rate (%),98.42
RCC Service Level  (20 sec) (%),87.6
Postpaid Offered calls,799.0
Postpaid Answered calls,789.0
Postpaid Accessibility rate (%),98.75
Postpaid Service Level  (20 sec) (%),88.74
Prepaid Offered calls,88.0
Prepaid Answered calls,84.0
Prepaid Accessibility rate (%),95.45
Prepaid Service Level  (20 sec) (%),77.27
