,10_25_2021
RCC Offered calls,1715.0
RCC Answered calls,1664.0
RCC Accessibility rate (%),97.03
RCC Service Level  (20 sec) (%),78.6
Postpaid Offered calls,1612.0
Postpaid Answered calls,1569.0
Postpaid Accessibility rate (%),97.33
Postpaid Service Level  (20 sec) (%),78.6
Prepaid Offered calls,103.0
Prepaid Answered calls,95.0
Prepaid Accessibility rate (%),92.23
Prepaid Service Level  (20 sec) (%),78.64
