,10_30_2021
RCC Offered calls,1116.0
RCC Answered calls,1089.0
RCC Accessibility rate (%),97.58
RCC Service Level  (20 sec) (%),84.86
Postpaid Offered calls,1034.0
Postpaid Answered calls,1012.0
Postpaid Accessibility rate (%),97.87
Postpaid Service Level  (20 sec) (%),85.3
Prepaid Offered calls,82.0
Prepaid Answered calls,77.0
Prepaid Accessibility rate (%),93.9
Prepaid Service Level  (20 sec) (%),79.27
