,10_31_2021
RCC Offered calls,809.0
RCC Answered calls,796.0
RCC Accessibility rate (%),98.39
RCC Service Level  (20 sec) (%),91.1
Postpaid Offered calls,733.0
Postpaid Answered calls,723.0
Postpaid Accessibility rate (%),98.64
Postpaid Service Level  (20 sec) (%),91.41
Prepaid Offered calls,76.0
Prepaid Answered calls,73.0
Prepaid Accessibility rate (%),96.05
Prepaid Service Level  (20 sec) (%),88.16
