,11_09_2021
RCC Offered calls,1747.0
RCC Answered calls,1669.0
RCC Accessibility rate (%),95.54
RCC Service Level  (20 sec) (%),76.19
Postpaid Offered calls,1657.0
Postpaid Answered calls,1587.0
Postpaid Accessibility rate (%),95.78
Postpaid Service Level  (20 sec) (%),76.16
Prepaid Offered calls,90.0
Prepaid Answered calls,82.0
Prepaid Accessibility rate (%),91.11
Prepaid Service Level  (20 sec) (%),76.67
