,11_04_2021
RCC Offered calls,1712.0
RCC Answered calls,1594.0
RCC Accessibility rate (%),93.11
RCC Service Level  (20 sec) (%),68.17
Postpaid Offered calls,1604.0
Postpaid Answered calls,1490.0
Postpaid Accessibility rate (%),92.89
Postpaid Service Level  (20 sec) (%),67.02
Prepaid Offered calls,108.0
Prepaid Answered calls,104.0
Prepaid Accessibility rate (%),96.3
Prepaid Service Level  (20 sec) (%),85.19
