,10_28_2021
RCC Offered calls,1419.0
RCC Answered calls,1356.0
RCC Accessibility rate (%),95.56
RCC Service Level  (20 sec) (%),78.37
Postpaid Offered calls,1311.0
Postpaid Answered calls,1250.0
Postpaid Accessibility rate (%),95.35
Postpaid Service Level  (20 sec) (%),77.35
Prepaid Offered calls,108.0
Prepaid Answered calls,106.0
Prepaid Accessibility rate (%),98.15
Prepaid Service Level  (20 sec) (%),90.74
