,10_23_2021
RCC Offered calls,1079.0
RCC Answered calls,1063.0
RCC Accessibility rate (%),98.52
RCC Service Level  (20 sec) (%),91.01
Postpaid Offered calls,989.0
Postpaid Answered calls,975.0
Postpaid Accessibility rate (%),98.58
Postpaid Service Level  (20 sec) (%),91.2
Prepaid Offered calls,90.0
Prepaid Answered calls,88.0
Prepaid Accessibility rate (%),97.78
Prepaid Service Level  (20 sec) (%),88.89
