,11_05_2021
RCC Offered calls,1503.0
RCC Answered calls,1460.0
RCC Accessibility rate (%),97.14
RCC Service Level  (20 sec) (%),82.3
Postpaid Offered calls,1393.0
Postpaid Answered calls,1353.0
Postpaid Accessibility rate (%),97.13
Postpaid Service Level  (20 sec) (%),81.62
Prepaid Offered calls,110.0
Prepaid Answered calls,107.0
Prepaid Accessibility rate (%),97.27
Prepaid Service Level  (20 sec) (%),90.91
