,11_07_2021
RCC Offered calls,727.0
RCC Answered calls,694.0
RCC Accessibility rate (%),95.46
RCC Service Level  (20 sec) (%),80.74
Postpaid Offered calls,665.0
Postpaid Answered calls,633.0
Postpaid Accessibility rate (%),95.19
Postpaid Service Level  (20 sec) (%),79.85
Prepaid Offered calls,62.0
Prepaid Answered calls,61.0
Prepaid Accessibility rate (%),98.39
Prepaid Service Level  (20 sec) (%),90.32
