,11_06_2021
RCC Offered calls,1198.0
RCC Answered calls,1128.0
RCC Accessibility rate (%),94.16
RCC Service Level  (20 sec) (%),76.96
Postpaid Offered calls,1104.0
Postpaid Answered calls,1040.0
Postpaid Accessibility rate (%),94.2
Postpaid Service Level  (20 sec) (%),76.54
Prepaid Offered calls,94.0
Prepaid Answered calls,88.0
Prepaid Accessibility rate (%),93.62
Prepaid Service Level  (20 sec) (%),81.91
