,10_26_2021
RCC Offered calls,1577.0
RCC Answered calls,1506.0
RCC Accessibility rate (%),95.5
RCC Service Level  (20 sec) (%),73.62
Postpaid Offered calls,1486.0
Postpaid Answered calls,1421.0
Postpaid Accessibility rate (%),95.63
Postpaid Service Level  (20 sec) (%),73.62
Prepaid Offered calls,91.0
Prepaid Answered calls,85.0
Prepaid Accessibility rate (%),93.41
Prepaid Service Level  (20 sec) (%),73.63
