,11_01_2021
RCC Offered calls,1789.0
RCC Answered calls,1684.0
RCC Accessibility rate (%),94.13
RCC Service Level  (20 sec) (%),69.48
Postpaid Offered calls,1676.0
Postpaid Answered calls,1571.0
Postpaid Accessibility rate (%),93.74
Postpaid Service Level  (20 sec) (%),67.6
Prepaid Offered calls,113.0
Prepaid Answered calls,113.0
Prepaid Accessibility rate (%),100.0
Prepaid Service Level  (20 sec) (%),97.35
