,10_29_2021
RCC Offered calls,1417.0
RCC Answered calls,1358.0
RCC Accessibility rate (%),95.84
RCC Service Level  (20 sec) (%),80.73
Postpaid Offered calls,1330.0
Postpaid Answered calls,1272.0
Postpaid Accessibility rate (%),95.64
Postpaid Service Level  (20 sec) (%),80.38
Prepaid Offered calls,88.0
Prepaid Answered calls,87.0
Prepaid Accessibility rate (%),98.86
Prepaid Service Level  (20 sec) (%),86.36
