,10_27_2021
RCC Offered calls,1358.0
RCC Answered calls,1317.0
RCC Accessibility rate (%),96.98
RCC Service Level  (20 sec) (%),85.35
Postpaid Offered calls,1268.0
Postpaid Answered calls,1231.0
Postpaid Accessibility rate (%),97.08
Postpaid Service Level  (20 sec) (%),85.41
Prepaid Offered calls,90.0
Prepaid Answered calls,86.0
Prepaid Accessibility rate (%),95.56
Prepaid Service Level  (20 sec) (%),84.44
