,11_10_2021
RCC Offered calls,1623.0
RCC Answered calls,1546.0
RCC Accessibility rate (%),95.26
RCC Service Level  (20 sec) (%),77.33
Postpaid Offered calls,1519.0
Postpaid Answered calls,1454.0
Postpaid Accessibility rate (%),95.72
Postpaid Service Level  (20 sec) (%),77.81
Prepaid Offered calls,104.0
Prepaid Answered calls,92.0
Prepaid Accessibility rate (%),88.46
Prepaid Service Level  (20 sec) (%),70.19
