,11_02_2021
RCC Offered calls,1930.0
RCC Answered calls,1762.0
RCC Accessibility rate (%),91.3
RCC Service Level  (20 sec) (%),58.34
Postpaid Offered calls,1824.0
Postpaid Answered calls,1657.0
Postpaid Accessibility rate (%),90.84
Postpaid Service Level  (20 sec) (%),56.3
Prepaid Offered calls,106.0
Prepaid Answered calls,105.0
Prepaid Accessibility rate (%),99.06
Prepaid Service Level  (20 sec) (%),93.4
