,11_11_2021
RCC Offered calls,1649.0
RCC Answered calls,1615.0
RCC Accessibility rate (%),97.94
RCC Service Level  (20 sec) (%),84.35
Postpaid Offered calls,1535.0
Postpaid Answered calls,1503.0
Postpaid Accessibility rate (%),97.92
Postpaid Service Level  (20 sec) (%),84.3
Prepaid Offered calls,114.0
Prepaid Answered calls,112.0
Prepaid Accessibility rate (%),98.25
Prepaid Service Level  (20 sec) (%),85.09
