,11_08_2021
RCC Offered calls,1642.0
RCC Answered calls,1582.0
RCC Accessibility rate (%),96.35
RCC Service Level  (20 sec) (%),82.95
Postpaid Offered calls,1542.0
Postpaid Answered calls,1488.0
Postpaid Accessibility rate (%),96.5
Postpaid Service Level  (20 sec) (%),82.62
Prepaid Offered calls,100.0
Prepaid Answered calls,94.0
Prepaid Accessibility rate (%),94.0
Prepaid Service Level  (20 sec) (%),88.0
