VDN:,83600-83622;83671-83678
Date:,11/5/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,1512,1511,1503,1460,51,1,1,1,0,6:03:26,1:11:24,:00:21,:00:15,:01:24,:00:21,8,2,3,7,0,2,4,4,3,18,1170,67,32,34,31,23,21,12,11,59,97.14,77.84,2.86,82.30,2.73,84.43,2.53,86.69,2.06,88.76,2.06,66:59:02,:03:30,67:02:32,1:15:32,68:18:04,119,3,:05:16,,,,1460,0,0,66:59:02,:00:00,:00:00,1:15:32,:00:00,:00:00
11/5/2021,12:00 AM,-,00:15,2,2,2,2,0,0,0,0,0,:00:03,:00:00,:00:00,:00:02,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:47,:00:00,:03:47,:00:05,:03:52,0,1,:00:02,,,,2,0,0,:03:47,:00:00,:00:00,:00:05,:00:00,:00:00
11/5/2021,12:15 AM,-,00:30,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/5/2021,12:30 AM,-,00:45,2,2,2,1,1,0,0,0,0,:00:02,:00:38,:00:00,:00:02,:00:38,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,.00,50.00,.00,:07:52,:00:00,:07:52,:00:03,:07:55,0,1,:00:38,,,,1,0,0,:07:52,:00:00,:00:00,:00:03,:00:00,:00:00
11/5/2021,12:45 AM,-,01:00,5,5,5,5,0,0,0,0,0,:02:58,:00:00,:00:00,:00:36,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,100.00,60.00,.00,60.00,.00,60.00,.00,60.00,.00,80.00,.00,:08:58,:00:00,:08:58,:00:14,:09:12,1,1,:02:04,,,,5,0,0,:08:58,:00:00,:00:00,:00:14,:00:00,:00:00
11/5/2021,1:00 AM,-,01:15,4,4,3,2,2,0,0,0,0,:05:18,:00:58,:00:00,:02:39,:00:29,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,66.67,.00,33.33,.00,33.33,.00,33.33,.00,33.33,.00,33.33,:09:20,:00:00,:09:20,:00:05,:09:25,0,1,:03:54,,,,2,0,0,:09:20,:00:00,:00:00,:00:05,:00:00,:00:00
11/5/2021,1:15 AM,-,01:30,2,2,2,2,0,0,0,0,0,:02:07,:00:00,:00:00,:01:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,:04:01,:00:00,:04:01,:00:05,:04:06,0,1,:02:04,,,,2,0,0,:04:01,:00:00,:00:00,:00:05,:00:00,:00:00
11/5/2021,1:30 AM,-,01:45,3,3,3,2,1,0,0,0,0,:05:30,:03:06,:00:00,:02:45,:03:06,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,66.67,.00,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,:04:04,:00:00,:04:04,:00:06,:04:10,0,2,:05:16,,,,2,0,0,:04:04,:00:00,:00:00,:00:06,:00:00,:00:00
11/5/2021,2:30 AM,-,02:45,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/5/2021,2:45 AM,-,03:00,2,2,2,1,1,0,0,0,0,:00:03,:01:46,:00:00,:00:03,:01:46,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,:07:07,:00:00,:07:07,:00:03,:07:10,0,1,:01:46,,,,1,0,0,:07:07,:00:00,:00:00,:00:03,:00:00,:00:00
