VDN:,83600-83622;83671-83678
Date:,11/4/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,1731,1728,1712,1594,134,3,3,3,0,11:13:37,3:27:37,:03:04,:00:25,:01:33,:01:01,16,8,9,13,10,7,3,4,7,57,1075,92,68,60,38,41,35,38,18,129,93.11,62.79,6.89,68.17,6.43,72.14,5.90,75.64,5.14,77.86,4.56,74:59:20,:09:43,75:09:03,1:27:59,76:37:02,112,6,:09:01,,,,1594,0,0,74:59:20,:00:00,:00:00,1:27:59,:00:00,:00:00
11/4/2021,12:00 AM,-,00:15,3,3,3,2,1,0,0,0,0,:01:45,:02:51,:00:00,:00:53,:02:51,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,66.67,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,:05:23,:00:00,:05:23,:00:04,:05:27,0,1,:02:51,,,,2,0,0,:05:23,:00:00,:00:00,:00:04,:00:00,:00:00
11/4/2021,12:15 AM,-,00:30,4,4,4,3,1,0,0,0,0,:01:18,:03:46,:00:00,:00:26,:03:46,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,75.00,25.00,25.00,50.00,25.00,50.00,25.00,50.00,25.00,50.00,25.00,:04:56,:00:00,:04:56,:00:07,:05:03,0,1,:03:46,,,,3,0,0,:04:56,:00:00,:00:00,:00:07,:00:00,:00:00
11/4/2021,12:30 AM,-,00:45,4,4,4,4,0,0,0,0,0,:04:04,:00:00,:00:00,:01:01,,,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,100.00,25.00,.00,25.00,.00,25.00,.00,75.00,.00,75.00,.00,:12:51,:00:00,:12:51,:00:11,:13:02,0,1,:02:50,,,,4,0,0,:12:51,:00:00,:00:00,:00:11,:00:00,:00:00
11/4/2021,12:45 AM,-,01:00,1,1,1,1,0,0,0,0,0,:03:46,:00:00,:00:00,:03:46,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:01:08,:00:01,:01:09,:00:02,:01:11,1,0,:03:46,,,,1,0,0,:01:08,:00:00,:00:00,:00:02,:00:00,:00:00
11/4/2021,1:00 AM,-,01:15,1,1,1,0,1,0,0,0,0,:00:00,:00:31,:00:00,,:00:31,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,100.00,.00,100.00,.00,100.00,.00,.00,.00,.00,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:31,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/4/2021,1:15 AM,-,01:30,1,1,1,1,0,0,0,0,0,:03:06,:00:00,:00:00,:03:06,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:07:38,:00:00,:07:38,:00:03,:07:41,0,1,:03:06,,,,1,0,0,:07:38,:00:00,:00:00,:00:03,:00:00,:00:00
11/4/2021,1:45 AM,-,02:00,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:34,:00:00,:02:34,:00:04,:02:38,0,1,:00:03,,,,1,0,0,:02:34,:00:00,:00:00,:00:04,:00:00,:00:00
11/4/2021,2:00 AM,-,02:15,1,1,1,1,0,0,0,0,0,:00:02,:00:00,:00:00,:00:02,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:05:33,:00:00,:05:33,:00:03,:05:36,0,1,:00:02,,,,1,0,0,:05:33,:00:00,:00:00,:00:03,:00:00,:00:00
11/4/2021,2:15 AM,-,02:30,2,2,2,2,0,0,0,0,0,:00:07,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:06,:00:00,:03:06,:00:05,:03:11,0,1,:00:04,,,,2,0,0,:03:06,:00:00,:00:00,:00:05,:00:00,:00:00
11/4/2021,2:30 AM,-,02:45,1,1,1,0,1,0,0,0,0,:00:00,:02:58,:00:00,,:02:58,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:02:58,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/4/2021,2:45 AM,-,03:00,2,2,2,2,0,0,0,0,0,:06:08,:00:00,:00:00,:03:04,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100.00,.00,.00,.00,.00,50.00,.00,50.00,.00,50.00,.00,:02:39,:00:00,:02:39,:00:05,:02:44,0,1,:05:39,,,,2,0,0,:02:39,:00:00,:00:00,:00:05,:00:00,:00:00
11/4/2021,3:00 AM,-,03:15,2,2,2,2,0,0,0,0,0,:00:04,:00:00,:00:00,:00:02,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:05:45,:00:00,:05:45,:00:06,:05:51,0,1,:00:02,,,,2,0,0,:05:45,:00:00,:00:00,:00:06,:00:00,:00:00
11/4/2021,3:15 AM,-,03:30,1,1,1,1,0,0,0,0,0,:00:02,:00:00,:00:00,:00:02,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:47,:00:00,:03:47,:00:03,:03:50,0,1,:00:02,,,,1,0,0,:03:47,:00:00,:00:00,:00:03,:00:00,:00:00
11/4/2021,3:30 AM,-,03:45,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:35,:00:00,:02:35,:00:02,:02:37,0,1,:00:03,,,,1,0,0,:02:35,:00:00,:00:00,:00:02,:00:00,:00:00
11/4/2021,3:45 AM,-,04:00,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:01,:00:00,:03:01,:00:02,:03:03,0,1,:00:03,,,,1,0,0,:03:01,:00:00,:00:00,:00:02,:00:00,:00:00
11/4/2021,4:30 AM,-,04:45,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:23,:00:00,:01:23,:00:03,:01:26,0,1,:00:03,,,,1,0,0,:01:23,:00:00,:00:00,:00:03,:00:00,:00:00
11/4/2021,5:00 AM,-,05:15,2,2,2,2,0,0,0,0,0,:01:15,:00:00,:00:00,:00:38,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,:01:21,:00:00,:01:21,:00:05,:01:26,0,1,:01:12,,,,2,0,0,:01:21,:00:00,:00:00,:00:05,:00:00,:00:00
11/4/2021,5:15 AM,-,05:30,1,1,1,1,0,0,0,0,0,:00:02,:00:00,:00:00,:00:02,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:04:50,:00:00,:04:50,:00:02,:04:52,0,0,:00:02,,,,1,0,0,:04:50,:00:00,:00:00,:00:02,:00:00,:00:00
11/4/2021,5:30 AM,-,05:45,3,3,3,3,0,0,0,0,0,:00:10,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:20,:00:00,:03:20,:00:07,:03:27,0,1,:00:04,,,,3,0,0,:03:20,:00:00,:00:00,:00:07,:00:00,:00:00
11/4/2021,6:00 AM,-,06:15,5,5,5,4,1,0,0,0,0,:03:40,:05:49,:00:00,:00:55,:05:49,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,80.00,40.00,20.00,40.00,20.00,40.00,20.00,40.00,20.00,40.00,20.00,:09:22,:00:00,:09:22,:00:11,:09:33,0,1,:05:49,,,,4,0,0,:09:22,:00:00,:00:00,:00:11,:00:00,:00:00
