VDN:,83632-83665;83685-83701;83729-83738;83741-83744
Date:,11/3/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,1354,1354,1351,1233,121,0,0,0,0,10:39:21,4:56:14,:00:00,:00:31,:02:27,,3,5,5,11,6,3,4,7,7,70,847,66,51,41,20,22,24,11,22,129,91.27,62.69,8.73,67.58,8.36,71.35,7.99,74.39,7.18,75.87,6.74,93:42:49,:03:06,93:45:55,2:25:23,96:11:18,117,5,:13:05,,,,1232,1,0,93:39:58,:02:51,:00:00,2:25:21,:00:02,:00:00
11/3/2021,12:00 AM,-,00:15,3,3,3,3,0,0,0,0,0,:00:16,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:19:59,:00:00,:19:59,:00:11,:20:10,1,1,:00:09,,,,3,0,0,:19:59,:00:00,:00:00,:00:11,:00:00,:00:00
11/3/2021,12:15 AM,-,00:30,4,4,4,4,0,0,0,0,0,:03:03,:00:00,:00:00,:00:46,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,75.00,.00,:11:04,:00:00,:11:04,:00:24,:11:28,0,1,:02:10,,,,4,0,0,:11:04,:00:00,:00:00,:00:24,:00:00,:00:00
11/3/2021,12:30 AM,-,00:45,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/3/2021,12:45 AM,-,01:00,2,2,2,2,0,0,0,0,0,:00:09,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:04:21,:00:00,:04:21,:00:11,:04:32,1,1,:00:05,,,,2,0,0,:04:21,:00:00,:00:00,:00:11,:00:00,:00:00
11/3/2021,1:00 AM,-,01:15,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:31,:00:00,:01:31,:00:06,:01:37,1,0,:00:03,,,,1,0,0,:01:31,:00:00,:00:00,:00:06,:00:00,:00:00
11/3/2021,1:15 AM,-,01:30,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:51,:00:00,:02:51,:00:02,:02:53,0,1,:00:05,,,,0,1,0,:00:00,:02:51,:00:00,:00:00,:00:02,:00:00
11/3/2021,4:00 AM,-,04:15,1,1,1,0,1,0,0,0,0,:00:00,:02:16,:00:00,,:02:16,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:02:16,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/3/2021,6:00 AM,-,06:15,4,4,4,0,4,0,0,0,0,:00:00,:10:40,:00:00,,:02:40,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:03:48,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/3/2021,7:00 AM,-,07:15,2,2,2,2,0,0,0,0,0,:00:11,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:07:51,:00:00,:07:51,:00:12,:08:03,0,1,:00:07,,,,2,0,0,:07:51,:00:00,:00:00,:00:12,:00:00,:00:00
11/3/2021,7:15 AM,-,07:30,4,4,4,4,0,0,0,0,0,:01:02,:00:00,:00:00,:00:16,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,100.00,75.00,.00,75.00,.00,75.00,.00,75.00,.00,75.00,.00,:11:22,:00:00,:11:22,:00:25,:11:47,2,1,:00:54,,,,4,0,0,:11:22,:00:00,:00:00,:00:25,:00:00,:00:00
11/3/2021,7:30 AM,-,07:45,3,3,3,3,0,0,0,0,0,:00:09,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:12:26,:00:00,:12:26,:00:17,:12:43,0,1,:00:03,,,,3,0,0,:12:26,:00:00,:00:00,:00:17,:00:00,:00:00
11/3/2021,7:45 AM,-,08:00,3,3,3,3,0,0,0,0,0,:01:05,:00:00,:00:00,:00:22,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,100.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,:10:21,:00:01,:10:22,:00:15,:10:37,1,1,:00:54,,,,3,0,0,:10:21,:00:00,:00:00,:00:15,:00:00,:00:00
11/3/2021,8:00 AM,-,08:15,9,9,9,9,0,0,0,0,0,:00:36,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:39:19,:00:00,:39:19,:00:51,:40:10,0,1,:00:06,,,,9,0,0,:39:19,:00:00,:00:00,:00:51,:00:00,:00:00
11/3/2021,8:15 AM,-,08:30,11,11,11,11,0,0,0,0,0,:00:45,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:29:10,:00:00,:29:10,:00:58,:30:08,2,1,:00:07,,,,11,0,0,:29:10,:00:00,:00:00,:00:58,:00:00,:00:00
11/3/2021,8:30 AM,-,08:45,9,9,9,9,0,0,0,0,0,:00:32,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:35:22,:00:01,:35:23,:00:42,:36:05,3,1,:00:05,,,,9,0,0,:35:22,:00:00,:00:00,:00:42,:00:00,:00:00
11/3/2021,8:45 AM,-,09:00,11,11,11,11,0,0,0,0,0,:00:49,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:35:47,:00:00,:35:47,:00:56,:36:43,1,1,:00:06,,,,11,0,0,:35:47,:00:00,:00:00,:00:56,:00:00,:00:00
11/3/2021,9:00 AM,-,09:15,9,9,9,9,0,0,0,0,0,:00:36,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:49:50,:00:00,:49:50,:00:47,:50:37,0,1,:00:07,,,,9,0,0,:49:50,:00:00,:00:00,:00:47,:00:00,:00:00
11/3/2021,9:15 AM,-,09:30,14,14,14,14,0,0,0,0,0,:00:59,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:45:31,:00:00,:45:31,:01:10,:46:41,4,1,:00:06,,,,14,0,0,:45:31,:00:00,:00:00,:01:10,:00:00,:00:00
11/3/2021,9:30 AM,-,09:45,18,18,18,18,0,0,0,0,0,:01:28,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:54:07,:00:00,:54:07,:01:28,:55:35,3,1,:00:08,,,,18,0,0,:54:07,:00:00,:00:00,:01:28,:00:00,:00:00
11/3/2021,9:45 AM,-,10:00,14,14,14,14,0,0,0,0,0,:00:58,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:37:55,:00:01,:37:56,:01:10,:39:06,4,1,:00:07,,,,14,0,0,:37:55,:00:00,:00:00,:01:10,:00:00,:00:00
11/3/2021,10:00 AM,-,10:15,26,26,26,26,0,0,0,0,0,:02:11,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,100.00,96.15,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,1:44:38,:00:00,1:44:38,:02:39,1:47:17,3,1,:00:15,,,,26,0,0,1:44:38,:00:00,:00:00,:02:39,:00:00,:00:00
11/3/2021,10:15 AM,-,10:30,19,19,19,19,0,0,0,0,0,:01:28,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,1:34:52,:00:00,1:34:52,:01:46,1:36:38,2,1,:00:10,,,,19,0,0,1:34:52,:00:00,:00:00,:01:46,:00:00,:00:00
11/3/2021,10:30 AM,-,10:45,25,25,25,25,0,0,0,0,0,:01:58,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,100.00,96.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,1:39:24,:00:00,1:39:24,:02:15,1:41:39,2,1,:00:11,,,,25,0,0,1:39:24,:00:00,:00:00,:02:15,:00:00,:00:00
11/3/2021,10:45 AM,-,11:00,19,19,19,19,0,0,0,0,0,:01:14,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:59:19,:00:01,:59:20,:01:37,1:00:57,4,2,:00:05,,,,19,0,0,:59:19,:00:00,:00:00,:01:37,:00:00,:00:00
11/3/2021,11:00 AM,-,11:15,21,21,21,21,0,0,0,0,0,:01:42,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,100.00,95.24,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,1:14:45,:00:33,1:15:18,:01:45,1:17:03,4,1,:00:16,,,,21,0,0,1:14:45,:00:00,:00:00,:01:45,:00:00,:00:00
11/3/2021,11:15 AM,-,11:30,18,18,18,18,0,0,0,0,0,:01:20,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,100.00,94.44,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,1:05:57,:01:02,1:06:59,:04:25,1:11:24,4,1,:00:12,,,,18,0,0,1:05:57,:00:00,:00:00,:04:25,:00:00,:00:00
11/3/2021,11:30 AM,-,11:45,18,18,18,18,0,0,0,0,0,:01:42,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,0,0,0,0,0,100.00,88.89,.00,94.44,.00,100.00,.00,100.00,.00,100.00,.00,1:09:03,:00:00,1:09:03,:02:28,1:11:31,0,1,:00:23,,,,18,0,0,1:09:03,:00:00,:00:00,:02:28,:00:00,:00:00
11/3/2021,11:45 AM,-,12:00,25,25,25,25,0,0,0,0,0,:01:44,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,1:28:35,:00:01,1:28:36,:05:30,1:34:06,4,1,:00:10,,,,25,0,0,1:28:35,:00:00,:00:00,:05:30,:00:00,:00:00
