VDN:,83632-83665;83685-83701;83729-83738;83741-83744
Date:,10/23/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,985,982,979,946,36,3,3,3,0,4:01:50,1:18:02,:05:11,:00:15,:02:10,:01:44,3,1,3,1,1,1,1,4,2,19,781,35,20,24,12,11,16,5,7,35,96.63,79.78,3.37,83.35,3.27,85.39,2.96,87.84,2.86,89.07,2.76,65:52:15,:00:43,65:52:58,1:46:00,67:38:58,52,3,:09:39,,,,941,5,0,65:36:33,:15:42,:00:00,1:45:48,:00:12,:00:00
10/23/2021,12:00 AM,-,00:15,4,4,4,2,2,0,0,0,0,:00:10,:07:47,:00:00,:00:05,:03:54,,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,:13:13,:00:00,:13:13,:00:08,:13:21,0,2,:04:33,,,,2,0,0,:13:13,:00:00,:00:00,:00:08,:00:00,:00:00
10/23/2021,12:15 AM,-,00:30,2,2,2,2,0,0,0,0,0,:02:16,:00:00,:00:00,:01:08,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:12:27,:00:00,:12:27,:00:10,:12:37,0,1,:01:19,,,,2,0,0,:12:27,:00:00,:00:00,:00:10,:00:00,:00:00
10/23/2021,12:30 AM,-,00:45,3,3,3,2,1,0,0,0,0,:00:04,:03:08,:00:00,:00:02,:03:08,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,66.67,66.67,33.33,66.67,33.33,66.67,33.33,66.67,33.33,66.67,33.33,:12:21,:00:00,:12:21,:00:10,:12:31,0,1,:03:08,,,,2,0,0,:12:21,:00:00,:00:00,:00:10,:00:00,:00:00
10/23/2021,12:45 AM,-,01:00,2,2,2,1,1,0,0,0,0,:00:02,:03:04,:00:00,:00:02,:03:04,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,:05:30,:00:00,:05:30,:00:05,:05:35,0,1,:03:04,,,,1,0,0,:05:30,:00:00,:00:00,:00:05,:00:00,:00:00
10/23/2021,1:00 AM,-,01:15,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
10/23/2021,1:15 AM,-,01:30,2,2,2,1,1,0,0,0,0,:03:22,:07:21,:00:00,:03:22,:07:21,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,:00:51,:00:00,:00:51,:00:02,:00:53,0,1,:07:21,,,,0,1,0,:00:00,:00:51,:00:00,:00:00,:00:02,:00:00
10/23/2021,3:45 AM,-,04:00,2,2,2,2,0,0,0,0,0,:01:07,:00:00,:00:00,:00:34,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,:04:05,:00:00,:04:05,:00:05,:04:10,0,1,:01:01,,,,0,2,0,:00:00,:04:05,:00:00,:00:00,:00:05,:00:00
10/23/2021,5:30 AM,-,05:45,1,1,1,1,0,0,0,0,0,:00:07,:00:00,:00:00,:00:07,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:09:50,:00:00,:09:50,:00:03,:09:53,0,1,:00:07,,,,0,1,0,:00:00,:09:50,:00:00,:00:00,:00:03,:00:00
10/23/2021,6:00 AM,-,06:15,1,1,1,1,0,0,0,0,0,:00:06,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:56,:00:00,:00:56,:00:02,:00:58,0,1,:00:06,,,,0,1,0,:00:00,:00:56,:00:00,:00:00,:00:02,:00:00
