VDN:,83632-83665;83685-83701;83729-83738;83741-83744
Date:,11/2/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,1495,1487,1475,1356,131,8,8,8,0,12:24:59,4:15:23,:03:40,:00:33,:01:57,:00:28,12,6,7,11,9,6,3,5,12,60,898,80,46,39,31,27,31,31,25,148,91.93,60.88,8.07,66.31,7.66,69.42,7.19,72.07,6.44,74.17,5.83,101:19:43,:05:08,101:24:51,2:26:09,103:51:00,127,4,:09:53,,,,1349,7,0,100:59:13,:20:30,:00:00,2:25:39,:00:30,:00:00
11/2/2021,12:30 AM,-,00:45,1,1,1,1,0,0,0,0,0,:00:08,:00:00,:00:00,:00:08,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:32,:00:01,:00:33,:00:05,:00:38,1,1,:00:08,,,,1,0,0,:00:32,:00:00,:00:00,:00:05,:00:00,:00:00
11/2/2021,12:45 AM,-,01:00,2,2,2,2,0,0,0,0,0,:00:35,:00:00,:00:00,:00:18,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,100.00,50.00,.00,50.00,.00,100.00,.00,100.00,.00,100.00,.00,:12:15,:00:00,:12:15,:01:10,:13:25,0,1,:00:25,,,,2,0,0,:12:15,:00:00,:00:00,:01:10,:00:00,:00:00
11/2/2021,1:00 AM,-,01:15,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/2/2021,1:15 AM,-,01:30,2,2,2,2,0,0,0,0,0,:00:08,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:07,:00:00,:03:07,:00:06,:03:13,0,1,:00:04,,,,0,2,0,:00:00,:03:07,:00:00,:00:00,:00:06,:00:00
11/2/2021,2:15 AM,-,02:30,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:13,:00:00,:03:13,:00:03,:03:16,0,1,:00:05,,,,0,1,0,:00:00,:03:13,:00:00,:00:00,:00:03,:00:00
11/2/2021,2:30 AM,-,02:45,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/2/2021,2:45 AM,-,03:00,2,2,2,1,1,0,0,0,0,:02:20,:00:33,:00:00,:02:20,:00:33,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.00,.00,50.00,.00,50.00,.00,50.00,.00,.00,.00,.00,:04:16,:00:00,:04:16,:00:02,:04:18,0,1,:02:20,,,,0,1,0,:00:00,:04:16,:00:00,:00:00,:00:02,:00:00
11/2/2021,3:30 AM,-,03:45,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/2/2021,3:45 AM,-,04:00,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:08:24,:00:00,:08:24,:00:03,:08:27,0,0,:00:04,,,,0,1,0,:00:00,:08:24,:00:00,:00:00,:00:03,:00:00
