VDN:,83632-83665;83685-83701;83729-83738;83741-83744
Date:,11/11/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,1469,1469,1461,1338,131,0,0,0,0,13:51:12,5:22:50,:00:00,:00:37,:02:28,,8,2,10,3,4,6,5,8,2,83,882,64,53,49,43,26,25,17,17,162,91.58,60.37,8.42,64.75,8.28,68.38,7.60,71.73,7.39,74.67,7.12,91:51:11,:06:22,91:57:33,1:38:38,93:36:11,120,5,:20:26,,,,1319,19,0,90:59:28,:51:43,:00:00,1:37:49,:00:49,:00:00
11/11/2021,12:00 AM,-,00:15,1,1,1,1,0,0,0,0,0,:00:09,:00:00,:00:00,:00:09,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:58,:00:00,:02:58,:00:05,:03:03,0,1,:00:09,,,,1,0,0,:02:58,:00:00,:00:00,:00:05,:00:00,:00:00
11/11/2021,12:15 AM,-,00:30,4,4,4,4,0,0,0,0,0,:10:33,:00:00,:00:00,:02:38,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,100.00,25.00,.00,25.00,.00,25.00,.00,25.00,.00,25.00,.00,:16:52,:00:00,:16:52,:00:22,:17:14,0,2,:04:20,,,,4,0,0,:16:52,:00:00,:00:00,:00:22,:00:00,:00:00
11/11/2021,12:30 AM,-,00:45,6,6,6,4,2,0,0,0,0,:09:44,:04:43,:00:00,:02:26,:02:22,,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,66.67,16.67,33.33,16.67,33.33,33.33,33.33,33.33,33.33,33.33,33.33,:14:51,:00:00,:14:51,:00:22,:15:13,0,1,:08:04,,,,4,0,0,:14:51,:00:00,:00:00,:00:22,:00:00,:00:00
11/11/2021,12:45 AM,-,01:00,5,5,5,4,1,0,0,0,0,:00:25,:00:55,:00:00,:00:06,:00:55,,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,80.00,60.00,20.00,80.00,20.00,80.00,20.00,80.00,20.00,80.00,20.00,:08:07,:00:00,:08:07,:00:22,:08:29,0,1,:00:55,,,,4,0,0,:08:07,:00:00,:00:00,:00:22,:00:00,:00:00
11/11/2021,1:00 AM,-,01:15,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/11/2021,1:15 AM,-,01:30,2,2,2,2,0,0,0,0,0,:02:37,:00:00,:00:00,:01:19,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,:05:50,:00:00,:05:50,:00:05,:05:55,0,1,:02:33,,,,0,2,0,:00:00,:05:50,:00:00,:00:00,:00:05,:00:00
11/11/2021,3:15 AM,-,03:30,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:46,:00:00,:01:46,:00:03,:01:49,0,1,:00:05,,,,0,1,0,:00:00,:01:46,:00:00,:00:00,:00:03,:00:00
11/11/2021,3:30 AM,-,03:45,1,1,1,1,0,0,0,0,0,:04:34,:00:00,:00:00,:04:34,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:03:37,:00:00,:03:37,:00:02,:03:39,0,1,:04:34,,,,0,1,0,:00:00,:03:37,:00:00,:00:00,:00:02,:00:00
11/11/2021,4:15 AM,-,04:30,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:16,:00:00,:02:16,:00:03,:02:19,0,1,:00:03,,,,0,1,0,:00:00,:02:16,:00:00,:00:00,:00:03,:00:00
