VDN:,83623-83628;83630-83631;83679-83681;83683-83684;Nov_RONA_180_premium;83724-83728;83739-83740
Date:,10/24/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,95,95,95,95,0,0,0,0,0,:20:22,:00:00,:00:00,:00:13,,,0,0,0,0,0,0,0,0,0,0,78,7,0,3,0,1,2,1,1,2,100.00,82.11,.00,89.47,.00,89.47,.00,92.63,.00,92.63,.00,3:30:49,:00:01,3:30:50,:04:09,3:34:59,7,1,:03:08,,,,0,95,0,:00:00,3:30:49,:00:00,:00:00,:04:09,:00:00
10/24/2021,12:15 AM,-,00:30,1,1,1,1,0,0,0,0,0,:00:20,:00:00,:00:00,:00:20,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.00,.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:20,:00:00,:01:20,:00:03,:01:23,0,1,:00:20,,,,0,1,0,:00:00,:01:20,:00:00,:00:00,:00:03,:00:00
10/24/2021,12:30 AM,-,00:45,1,1,1,1,0,0,0,0,0,:03:08,:00:00,:00:00,:03:08,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:05:06,:00:00,:05:06,:00:03,:05:09,0,1,:03:08,,,,0,1,0,:00:00,:05:06,:00:00,:00:00,:00:03,:00:00
10/24/2021,12:45 AM,-,01:00,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:45,:00:00,:01:45,:00:03,:01:48,0,1,:00:05,,,,0,1,0,:00:00,:01:45,:00:00,:00:00,:00:03,:00:00
10/24/2021,6:00 AM,-,06:15,1,1,1,1,0,0,0,0,0,:01:59,:00:00,:00:00,:01:59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:01:47,:00:00,:01:47,:00:03,:01:50,0,1,:01:59,,,,0,1,0,:00:00,:01:47,:00:00,:00:00,:00:03,:00:00
10/24/2021,6:45 AM,-,07:00,1,1,1,1,0,0,0,0,0,:00:07,:00:00,:00:00,:00:07,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:14,:00:00,:03:14,:00:02,:03:16,0,1,:00:07,,,,0,1,0,:00:00,:03:14,:00:00,:00:00,:00:02,:00:00
10/24/2021,7:30 AM,-,07:45,1,1,1,1,0,0,0,0,0,:00:06,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:42,:00:00,:01:42,:00:03,:01:45,0,1,:00:06,,,,0,1,0,:00:00,:01:42,:00:00,:00:00,:00:03,:00:00
10/24/2021,7:45 AM,-,08:00,2,2,2,2,0,0,0,0,0,:00:12,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:01,:00:00,:00:01,:00:05,:00:06,0,1,:00:06,,,,0,2,0,:00:00,:00:01,:00:00,:00:00,:00:05,:00:00
10/24/2021,8:15 AM,-,08:30,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:24,:00:00,:01:24,:00:02,:01:26,0,1,:00:04,,,,0,1,0,:00:00,:01:24,:00:00,:00:00,:00:02,:00:00
10/24/2021,8:30 AM,-,08:45,2,2,2,2,0,0,0,0,0,:00:12,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:22,:00:00,:01:22,:00:06,:01:28,0,1,:00:06,,,,0,2,0,:00:00,:01:22,:00:00,:00:00,:00:06,:00:00
10/24/2021,8:45 AM,-,09:00,1,1,1,1,0,0,0,0,0,:00:06,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:31,:00:00,:00:31,:00:03,:00:34,0,1,:00:06,,,,0,1,0,:00:00,:00:31,:00:00,:00:00,:00:03,:00:00
10/24/2021,9:00 AM,-,09:15,2,2,2,2,0,0,0,0,0,:00:09,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:05:33,:00:00,:05:33,:00:06,:05:39,0,1,:00:06,,,,0,2,0,:00:00,:05:33,:00:00,:00:00,:00:06,:00:00
