Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,801,801,799,789,12,0,0,0,0,2:15:34,:14:35,:00:00,:00:10,:01:13,,2,0,1,0,0,0,3,0,2,4,682,27,20,14,8,9,2,8,5,14,98.75,85.36,1.25,88.74,1.25,91.24,1.13,92.99,1.13,93.99,1.13,33:01:52,:00:17,33:02:09,:41:38,33:43:47,57,2,:03:55,,,,789,0,0,33:01:52,:00:00,:00:00,:41:38,:00:00,:00:00,:02:40
10/24/2021,Nov_Res_Platinum,105,105,105,104,1,0,0,0,0,:16:02,:01:08,:00:00,:00:09,:01:08,,0,0,0,0,0,0,1,0,0,0,90,1,7,2,0,0,0,3,1,0,99.05,85.71,.95,86.67,.95,93.33,.95,95.24,.95,95.24,.95,4:12:17,:00:04,4:12:21,:05:53,4:18:14,8,1,:01:27,Nov_Res_Platinum,0,0,104,0,0,4:12:17,:00:00,:00:00,:05:53,:00:00,:00:00,:02:34
10/24/2021,Nov_Res_Gold,76,76,76,75,1,0,0,0,0,:11:22,:02:24,:00:00,:00:09,:02:24,,0,0,0,0,0,0,0,0,0,1,63,3,1,3,3,2,0,0,0,0,98.68,82.89,1.32,86.84,1.32,88.16,1.32,92.11,1.32,96.05,1.32,2:56:19,:00:01,2:56:20,:03:17,2:59:37,6,1,:02:24,Nov_Res_Other_segmen,0,0,75,0,0,2:56:19,:00:00,:00:00,:03:17,:00:00,:00:00,:02:30
10/24/2021,Nov_Res_Silver,85,85,85,85,0,0,0,0,0,:17:30,:00:00,:00:00,:00:12,,,0,0,0,0,0,0,0,0,0,0,73,4,2,0,0,1,1,0,1,3,100.00,85.88,.00,90.59,.00,92.94,.00,92.94,.00,92.94,.00,4:10:29,:00:00,4:10:29,:03:35,4:14:04,10,2,:02:34,Nov_Res_Other_segmen,0,0,85,0,0,4:10:29,:00:00,:00:00,:03:35,:00:00,:00:00,:03:09
10/24/2021,Nov_Res_Bronze,132,132,132,130,2,0,0,0,0,:18:19,:02:43,:00:00,:00:08,:01:22,,0,0,0,0,0,0,1,0,0,1,112,8,2,3,0,3,0,1,0,1,98.48,84.85,1.52,90.91,1.52,92.42,1.52,94.70,1.52,94.70,1.52,5:29:59,:00:06,5:30:05,:05:36,5:35:41,6,2,:01:50,Nov_Res_Other_segmen,0,0,130,0,0,5:29:59,:00:00,:00:00,:05:36,:00:00,:00:00,:02:40
10/24/2021,Nov_Res_New,13,13,13,13,0,0,0,0,0,:06:53,:00:00,:00:00,:00:32,,,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,2,100.00,76.92,.00,76.92,.00,84.62,.00,84.62,.00,84.62,.00,:33:43,:00:00,:33:43,:00:33,:34:16,0,1,:03:55,Nov_Res_Other_segmen,0,0,13,0,0,:33:43,:00:00,:00:00,:00:33,:00:00,:00:00,:03:07
10/24/2021,Nov_Res_Tech_Platinu,32,32,32,32,0,0,0,0,0,:06:25,:00:00,:00:00,:00:12,,,0,0,0,0,0,0,0,0,0,0,25,2,0,2,1,1,0,1,0,0,100.00,78.13,.00,84.38,.00,84.38,.00,90.63,.00,93.75,.00,1:00:10,:00:02,1:00:12,:03:33,1:03:45,5,1,:01:20,Nov_Res_Tech_Platinu,0,0,32,0,0,1:00:10,:00:00,:00:00,:03:33,:00:00,:00:00,:02:05
10/24/2021,Nov_Res_Tech_Gold,31,31,31,30,1,0,0,0,0,:02:57,:02:12,:00:00,:00:06,:02:12,,0,0,0,0,0,0,0,0,0,1,27,2,0,1,0,0,0,0,0,0,96.77,87.10,3.23,93.55,3.23,93.55,3.23,96.77,3.23,96.77,3.23,1:15:12,:00:00,1:15:12,:01:16,1:16:28,1,1,:02:12,Nov_Res_Tech_Other_s,0,0,30,0,0,1:15:12,:00:00,:00:00,:01:16,:00:00,:00:00,:02:36
10/24/2021,Nov_Res_Tech_Silver,72,72,72,69,3,0,0,0,0,:12:00,:03:02,:00:00,:00:10,:01:01,,0,0,1,0,0,0,1,0,1,0,60,3,2,0,0,0,1,0,1,2,95.83,83.33,4.17,87.50,4.17,90.28,2.78,90.28,2.78,90.28,2.78,3:08:01,:00:01,3:08:02,:03:03,3:11:05,8,2,:01:57,Nov_Res_Tech_Other_s,0,0,69,0,0,3:08:01,:00:00,:00:00,:03:03,:00:00,:00:00,:02:49
10/24/2021,Nov_Res_Tech_Bronze,68,68,68,68,0,0,0,0,0,:13:39,:00:00,:00:00,:00:12,,,0,0,0,0,0,0,0,0,0,0,59,1,1,0,3,0,0,3,0,1,100.00,86.76,.00,88.24,.00,89.71,.00,89.71,.00,94.12,.00,2:37:48,:00:02,2:37:50,:02:49,2:40:39,5,2,:02:48,Nov_Res_Tech_Other_s,0,0,68,0,0,2:37:48,:00:00,:00:00,:02:49,:00:00,:00:00,:02:31
