Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,1492,1492,1486,1421,71,0,0,0,0,8:15:04,2:00:17,:00:00,:00:21,:01:42,,6,2,8,3,1,6,4,2,7,32,1016,78,54,52,33,28,27,29,20,84,95.63,68.37,4.37,73.62,4.24,77.25,3.70,80.75,3.50,82.97,3.43,76:43:49,:10:05,76:53:54,1:07:34,78:01:28,84,5,:15:49,,,,1421,0,0,76:43:49,:00:00,:00:00,1:07:34,:00:00,:00:00,:03:30
10/26/2021,Nov_Res_Platinum,207,207,206,200,7,0,0,0,0,:55:03,:09:51,:00:00,:00:17,:01:24,,1,0,2,1,0,0,0,0,0,3,129,19,15,12,8,3,4,3,3,4,97.09,62.62,2.91,71.84,2.91,79.13,1.94,84.95,1.46,88.83,1.46,9:52:32,:00:10,9:52:42,:09:27,10:02:09,17,3,:03:36,Nov_Res_Platinum,0,0,200,0,0,9:52:32,:00:00,:00:00,:09:27,:00:00,:00:00,:03:11
10/26/2021,Nov_Res_Gold,173,173,173,170,3,0,0,0,0,:36:44,:03:08,:00:00,:00:13,:01:03,,0,0,1,0,0,1,0,0,0,1,128,12,9,2,6,4,3,3,1,2,98.27,73.99,1.73,80.92,1.73,86.13,1.16,87.28,1.16,90.75,1.16,9:47:57,:01:29,9:49:26,:08:13,9:57:39,16,2,:01:41,Nov_Res_Other_segmen,0,0,170,0,0,9:47:57,:00:00,:00:00,:08:13,:00:00,:00:00,:03:38
10/26/2021,Nov_Res_Silver,264,264,264,251,13,0,0,0,0,1:39:50,:35:54,:00:00,:00:24,:02:46,,0,0,1,1,0,1,0,0,2,8,190,6,7,7,2,6,3,6,3,21,95.08,71.97,4.92,74.24,4.92,76.89,4.55,79.55,4.17,80.30,4.17,13:35:52,:03:21,13:39:13,:11:46,13:50:59,10,3,:15:49,Nov_Res_Other_segmen,0,0,251,0,0,13:35:52,:00:00,:00:00,:11:46,:00:00,:00:00,:03:37
10/26/2021,Nov_Res_Bronze,297,297,296,280,17,0,0,0,0,2:02:19,:30:27,:00:00,:00:26,:01:47,,1,0,0,0,0,2,1,0,3,10,201,9,4,12,5,3,7,6,5,28,94.59,67.91,5.41,70.95,5.41,72.30,5.41,76.35,5.41,78.04,5.41,15:14:17,:00:19,15:14:36,:13:15,15:27:51,8,5,:04:03,Nov_Res_Other_segmen,0,0,280,0,0,15:14:17,:00:00,:00:00,:13:15,:00:00,:00:00,:03:36
10/26/2021,Nov_Res_New,27,27,27,27,0,0,0,0,0,:16:29,:00:00,:00:00,:00:37,,,0,0,0,0,0,0,0,0,0,0,18,1,1,1,0,0,0,1,1,4,100.00,66.67,.00,70.37,.00,74.07,.00,77.78,.00,77.78,.00,1:50:35,:00:01,1:50:36,:01:17,1:51:53,2,1,:03:49,Nov_Res_Other_segmen,0,0,27,0,0,1:50:35,:00:00,:00:00,:01:17,:00:00,:00:00,:04:42
10/26/2021,Nov_Res_Tech_Platinu,50,50,50,46,4,0,0,0,0,:11:03,:07:13,:00:00,:00:14,:01:48,,0,0,0,0,0,0,0,1,1,2,34,7,1,0,1,1,0,0,0,2,92.00,68.00,8.00,82.00,8.00,84.00,8.00,84.00,8.00,86.00,8.00,2:28:50,:00:00,2:28:50,:02:15,2:31:05,0,2,:02:37,Nov_Res_Tech_Platinu,0,0,46,0,0,2:28:50,:00:00,:00:00,:02:15,:00:00,:00:00,:03:21
10/26/2021,Nov_Res_Tech_Gold,46,46,46,44,2,0,0,0,0,:17:00,:00:49,:00:00,:00:23,:00:24,,0,0,2,0,0,0,0,0,0,0,28,3,3,1,2,1,0,3,1,2,95.65,60.87,4.35,67.39,4.35,73.91,.00,76.09,.00,80.43,.00,1:59:46,:00:01,1:59:47,:01:57,2:01:44,4,1,:03:06,Nov_Res_Tech_Other_s,0,0,44,0,0,1:59:46,:00:00,:00:00,:01:57,:00:00,:00:00,:02:59
10/26/2021,Nov_Res_Tech_Silver,80,80,80,71,9,0,0,0,0,:37:14,:15:14,:00:00,:00:31,:01:42,,0,0,1,0,1,2,0,0,0,5,47,2,0,3,2,2,4,2,2,7,88.75,58.75,11.25,61.25,11.25,61.25,10.00,65.00,10.00,67.50,8.75,3:16:16,:02:30,3:18:46,:03:19,3:22:05,7,4,:04:13,Nov_Res_Tech_Other_s,0,0,71,0,0,3:16:16,:00:00,:00:00,:03:19,:00:00,:00:00,:03:08
10/26/2021,Nov_Res_Tech_Bronze,80,80,79,71,9,0,0,0,0,:38:49,:11:14,:00:00,:00:33,:01:15,,1,1,1,1,0,0,1,1,1,2,43,5,2,1,5,3,2,1,2,7,89.87,54.43,10.13,60.76,8.86,63.29,7.59,64.56,6.33,70.89,6.33,3:55:24,:00:02,3:55:26,:03:37,3:59:03,5,2,:04:35,Nov_Res_Tech_Other_s,0,0,71,0,0,3:55:24,:00:00,:00:00,:03:37,:00:00,:00:00,:03:34
10/26/2021,Nov_Res_Tech_New,18,18,18,17,1,0,0,0,0,:03:39,:01:07,:00:00,:00:13,:01:07,,0,0,0,0,0,0,1,0,0,0,13,1,2,0,0,0,0,0,0,1,94.44,72.22,5.56,77.78,5.56,88.89,5.56,88.89,5.56,88.89,5.56,:48:02,:00:00,:48:02,:00:54,:48:56,0,1,:01:36,Nov_Res_Tech_Other_s,0,0,17,0,0,:48:02,:00:00,:00:00,:00:54,:00:00,:00:00,:02:56
10/26/2021,Nov_Prospect,135,135,134,132,3,0,0,0,0,:25:32,:04:12,:00:00,:00:12,:01:24,,1,1,0,0,0,0,0,0,0,1,107,6,5,5,1,2,1,2,1,2,98.51,79.85,1.49,84.33,.75,88.06,.75,91.79,.75,92.54,.75,6:55:26,:00:02,6:55:28,:06:40,7:02:08,9,2,:03:53,Nov_Prospect,0,0,132,0,0,6:55:26,:00:00,:00:00,:06:40,:00:00,:00:00,:03:18
10/26/2021,Nov_Prospect_Tech,34,34,34,34,0,0,0,0,0,:06:30,:00:00,:00:00,:00:11,,,0,0,0,0,0,0,0,0,0,0,25,2,4,1,0,0,1,1,0,0,100.00,73.53,.00,79.41,.00,91.18,.00,94.12,.00,94.12,.00,1:53:49,:02:10,1:55:59,:01:29,1:57:28,4,1,:01:12,Nov_Prospect,0,0,34,0,0,1:53:49,:00:00,:00:00,:01:29,:00:00,:00:00,:03:36
10/26/2021,Nov_Transfer_RCC,81,81,79,78,3,0,0,0,0,:24:52,:01:08,:00:00,:00:19,:00:23,,2,0,0,0,0,0,1,0,0,0,53,5,1,7,1,3,2,1,1,4,98.73,67.09,1.27,73.42,1.27,74.68,1.27,83.54,1.27,84.81,1.27,5:05:03,:00:00,5:05:03,:03:25,5:08:28,2,2,:02:08,Nov_Transfer_RCC,0,0,78,0,0,5:05:03,:00:00,:00:00,:03:25,:00:00,:00:00,:04:05
