Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,165,165,162,161,4,0,0,0,0,:32:07,:04:07,:00:00,:00:12,:01:02,,3,0,0,0,0,0,0,0,0,1,132,10,3,6,2,1,2,2,1,2,99.38,81.48,.62,87.65,.62,89.51,.62,93.21,.62,94.44,.62,7:59:56,:01:11,8:01:07,:10:41,8:11:48,14,1,:03:08,,,,52,109,0,4:02:00,3:57:56,:00:00,:05:59,:04:42,:00:00,:03:08
10/24/2021,Nov_180_Premium_queue,12,12,10,10,2,0,0,0,0,:01:25,:00:39,:00:00,:00:08,:00:20,,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:12:48,:00:02,:12:50,:00:22,:13:12,2,1,:00:39,Nov_180 Premium Skil,Nov_Res_Platinum,0,0,10,0,:00:00,:12:48,:00:00,:00:00,:00:22,:00:00,:01:14
10/24/2021,Nov_Bus_Platinum,24,24,24,24,0,0,0,0,0,:04:16,:00:00,:00:00,:00:11,,,0,0,0,0,0,0,0,0,0,0,21,1,0,1,0,0,0,0,0,1,100.00,87.50,.00,91.67,.00,91.67,.00,95.83,.00,95.83,.00,:52:44,:00:01,:52:45,:01:03,:53:48,1,1,:01:59,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,0,24,0,:00:00,:52:44,:00:00,:00:00,:01:03,:00:00,:02:23
10/24/2021,Nov_Bus_Gold,16,16,16,16,0,0,0,0,0,:02:42,:00:00,:00:00,:00:10,,,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,1,0,0,0,100.00,81.25,.00,93.75,.00,93.75,.00,93.75,.00,93.75,.00,:42:17,:00:00,:42:17,:00:38,:42:55,0,1,:01:09,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,0,16,0,:00:00,:42:17,:00:00,:00:00,:00:38,:00:00,:02:49
10/24/2021,Nov_Bus_Silver,18,18,18,18,0,0,0,0,0,:08:33,:00:00,:00:00,:00:28,,,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,1,1,0,1,1,100.00,61.11,.00,72.22,.00,72.22,.00,77.78,.00,77.78,.00,:34:09,:00:00,:34:09,:00:44,:34:53,2,1,:03:08,Nov_Bus_S_B_N,Nov_Res_Platinum,0,0,18,0,:00:00,:34:09,:00:00,:00:00,:00:44,:00:00,:02:22
10/24/2021,Nov_Bus_Bronze,4,4,4,4,0,0,0,0,0,:00:16,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:14:25,:00:00,:14:25,:00:11,:14:36,1,1,:00:05,Nov_Bus_S_B_N,Nov_Res_Platinum,0,0,4,0,:00:00,:14:25,:00:00,:00:00,:00:11,:00:00,:03:40
10/24/2021,Nov_Bus_New,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:45,:00:00,:01:45,:00:03,:01:48,0,1,:00:05,Nov_Bus_S_B_N,Nov_Res_Platinum,0,0,1,0,:00:00,:01:45,:00:00,:00:00,:00:03,:00:00,:01:50
10/24/2021,Nov_Decision_maker,20,20,20,20,0,0,0,0,0,:03:41,:00:00,:00:00,:00:11,,,0,0,0,0,0,0,0,0,0,0,16,2,0,1,0,0,0,1,0,0,100.00,80.00,.00,90.00,.00,90.00,.00,95.00,.00,95.00,.00,:47:47,:00:00,:47:47,:01:00,:48:47,3,1,:01:16,Nov_Decision_maker,Nov_Res_Platinum,0,0,20,0,:00:00,:47:47,:00:00,:00:00,:01:00,:00:00,:02:34
10/24/2021,Nov_Public/tender_sk,11,11,11,11,0,0,0,0,0,:00:44,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:16:39,:00:00,:16:39,:00:28,:17:07,0,1,:00:06,Nov_Public/Tender,Nov_Res_Platinum,0,0,11,0,:00:00,:16:39,:00:00,:00:00,:00:28,:00:00,:01:35
10/24/2021,Nov_DVB_Bus_Bronze,2,2,2,2,0,0,0,0,0,:01:20,:00:00,:00:00,:00:40,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,:08:43,:00:01,:08:44,:00:08,:08:52,1,1,:01:15,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,2,0,0,:08:43,:00:00,:00:00,:00:08,:00:00,:00:00,:05:02
10/24/2021,Nov_DVB_Bus_Gold,3,3,3,3,0,0,0,0,0,:00:12,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:21:13,:00:00,:21:13,:00:16,:21:29,0,1,:00:06,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,3,0,0,:21:13,:00:00,:00:00,:00:16,:00:00,:00:00,:07:08
10/24/2021,Nov_DVB_Bus_New,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:39,:00:00,:03:39,:00:06,:03:45,0,1,:00:04,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,1,0,0,:03:39,:00:00,:00:00,:00:06,:00:00,:00:00,:03:43
10/24/2021,Nov_DVB_Bus_Platinum,3,3,3,3,0,0,0,0,0,:00:41,:00:00,:00:00,:00:14,,,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,100.00,66.67,.00,66.67,.00,66.67,.00,100.00,.00,100.00,.00,:16:41,:00:00,:16:41,:00:17,:16:58,0,1,:00:36,Nov_DVB_Bus_Platinum,Nov_Res_Tech_Platinu,0,3,0,0,:16:41,:00:00,:00:00,:00:17,:00:00,:00:00,:05:47
