Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,428,427,425,414,13,1,1,1,0,1:40:19,:14:05,:00:21,:00:15,:01:05,:00:21,2,1,1,4,1,0,2,1,0,1,303,32,20,16,10,6,5,8,5,9,97.41,71.29,2.59,78.82,2.35,83.53,2.12,87.29,1.18,89.65,.94,21:46:52,:02:06,21:48:58,:27:04,22:16:02,58,2,:06:38,,,,264,150,0,14:26:57,7:19:55,:00:00,:17:32,:09:32,:00:00,:03:20
11/2/2021,Nov_180_Premium_queue,23,23,22,22,1,0,0,0,0,:02:37,:00:02,:00:00,:00:07,:00:02,,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:42:38,:00:02,:42:40,:01:07,:43:47,3,1,:01:01,Nov_180 Premium Skil,Nov_Res_Platinum,0,19,3,0,:35:48,:06:50,:00:00,:01:00,:00:07,:00:00,:01:58
11/2/2021,Nov_Bus_Platinum,71,71,71,70,1,0,0,0,0,:16:20,:01:09,:00:00,:00:14,:01:09,,0,0,0,0,0,0,1,0,0,0,50,8,5,1,1,0,2,1,0,2,98.59,70.42,1.41,81.69,1.41,88.73,1.41,90.14,1.41,91.55,1.41,3:24:37,:00:23,3:25:00,:03:58,3:28:58,7,2,:02:21,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,36,34,0,1:38:16,1:46:21,:00:00,:01:39,:02:19,:00:00,:03:08
11/2/2021,Nov_Bus_Gold,65,65,65,64,1,0,0,0,0,:16:27,:00:14,:00:00,:00:15,:00:14,,0,1,0,0,0,0,0,0,0,0,42,6,4,5,2,1,0,2,2,0,98.46,64.62,1.54,73.85,.00,80.00,.00,87.69,.00,90.77,.00,2:49:56,:00:56,2:50:52,:03:19,2:54:11,10,2,:01:27,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,34,30,0,1:39:29,1:10:27,:00:00,:01:33,:01:46,:00:00,:02:53
11/2/2021,Nov_Bus_Silver,46,46,46,44,2,0,0,0,0,:10:08,:01:06,:00:00,:00:14,:00:33,,0,0,1,1,0,0,0,0,0,0,34,3,1,1,0,2,1,0,0,2,95.65,73.91,4.35,80.43,4.35,82.61,2.17,84.78,.00,84.78,.00,2:36:28,:00:12,2:36:40,:02:11,2:38:51,4,1,:01:42,Nov_Bus_S_B_N,Nov_Res_Platinum,0,28,16,0,1:26:56,1:09:32,:00:00,:01:20,:00:51,:00:00,:03:39
11/2/2021,Nov_Bus_Bronze,14,14,14,14,0,0,0,0,0,:03:10,:00:00,:00:00,:00:14,,,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,1,0,0,100.00,78.57,.00,85.71,.00,85.71,.00,85.71,.00,85.71,.00,:26:22,:00:00,:26:22,:01:00,:27:22,2,1,:01:20,Nov_Bus_S_B_N,Nov_Res_Platinum,0,8,6,0,:16:11,:10:11,:00:00,:00:21,:00:39,:00:00,:02:07
11/2/2021,Nov_Bus_New,5,5,5,4,1,0,0,0,0,:01:09,:06:38,:00:00,:00:17,:06:38,,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,80.00,40.00,20.00,40.00,20.00,60.00,20.00,80.00,20.00,80.00,20.00,:19:55,:00:00,:19:55,:00:12,:20:07,0,1,:06:38,Nov_Bus_S_B_N,Nov_Res_Platinum,0,2,2,0,:06:21,:13:34,:00:00,:00:04,:00:08,:00:00,:05:32
11/2/2021,Nov_Decision_maker,62,62,62,61,1,0,0,0,0,:12:51,:00:36,:00:00,:00:13,:00:36,,0,0,0,1,0,0,0,0,0,0,46,4,1,3,3,1,2,0,1,0,98.39,74.19,1.61,80.65,1.61,82.26,1.61,87.10,.00,91.94,.00,2:46:24,:00:13,2:46:37,:03:33,2:50:10,13,2,:01:23,Nov_Decision_maker,Nov_Res_Platinum,0,34,27,0,1:39:27,1:06:57,:00:00,:01:38,:01:55,:00:00,:02:54
11/2/2021,Nov_Public/tender_sk,25,25,25,24,1,0,0,0,0,:04:26,:00:46,:00:00,:00:11,:00:46,,0,0,0,0,1,0,0,0,0,0,18,2,1,2,0,1,0,0,0,0,96.00,72.00,4.00,80.00,4.00,84.00,4.00,92.00,4.00,92.00,.00,1:23:41,:00:15,1:23:56,:01:18,1:25:14,3,1,:00:53,Nov_Public/Tender,Nov_Res_Platinum,0,0,24,0,:00:00,1:23:41,:00:00,:00:00,:01:18,:00:00,:03:34
11/2/2021,Nov_Transfer_BCC1,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:03,:00:00,:01:03,:00:05,:01:08,0,1,:00:04,Nov_Transfer_BCC1,Nov_Res_Platinum,0,0,1,0,:00:00,:01:03,:00:00,:00:00,:00:05,:00:00,:01:07
11/2/2021,Nov_DVB_Bus_Bronze,2,2,2,2,0,0,0,0,0,:01:19,:00:00,:00:00,:00:40,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,:21:36,:00:00,:21:36,:00:08,:21:44,0,1,:01:16,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,2,0,0,:21:36,:00:00,:00:00,:00:08,:00:00,:00:00,:11:28
11/2/2021,Nov_DVB_Bus_Gold,6,6,5,5,1,0,0,0,0,:00:21,:00:01,:00:00,:00:04,:00:01,,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:13:27,:00:00,:13:27,:00:26,:13:53,0,1,:00:05,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,5,0,0,:13:27,:00:00,:00:00,:00:26,:00:00,:00:00,:02:18
11/2/2021,Nov_DVB_Bus_New,1,1,1,1,0,0,0,0,0,:00:17,:00:00,:00:00,:00:17,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.00,.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:30,:00:00,:03:30,:00:05,:03:35,0,1,:00:17,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,1,0,0,:03:30,:00:00,:00:00,:00:05,:00:00,:00:00,:03:47
11/2/2021,Nov_DVB_Bus_Platinum,10,10,10,10,0,0,0,0,0,:02:20,:00:00,:00:00,:00:14,,,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,100.00,50.00,.00,90.00,.00,90.00,.00,90.00,.00,100.00,.00,1:01:18,:00:01,1:01:19,:00:50,1:02:09,2,1,:00:47,Nov_DVB_Bus_Platinum,Nov_Res_Tech_Platinu,0,10,0,0,1:01:18,:00:00,:00:00,:00:50,:00:00,:00:00,:06:22
11/2/2021,Nov_DVB_Bus_Silver,12,12,12,10,2,0,0,0,0,:03:16,:01:44,:00:00,:00:20,:00:52,,0,0,0,1,0,0,1,0,0,0,7,0,2,0,0,0,0,0,0,1,83.33,58.33,16.67,58.33,16.67,75.00,16.67,75.00,8.33,75.00,8.33,:47:08,:00:00,:47:08,:00:56,:48:04,0,1,:01:55,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,10,0,0,:47:08,:00:00,:00:00,:00:56,:00:00,:00:00,:04:21
