Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,264,263,260,258,5,1,1,1,0,:56:17,:06:34,:00:21,:00:13,:01:19,:00:21,3,0,0,0,0,0,1,0,0,1,199,17,15,7,5,4,5,2,1,3,99.23,76.54,.77,83.08,.77,88.85,.77,91.54,.77,93.46,.77,13:28:03,:03:16,13:31:19,:20:15,13:51:34,22,2,:02:47,,,,144,114,0,9:16:49,4:11:14,:00:00,:13:22,:06:53,:00:00,:03:19
11/6/2021,Nov_180_Premium_queue,19,19,18,18,1,0,0,0,0,:04:25,:00:19,:00:00,:00:15,:00:19,,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:21:43,:00:00,:21:43,:00:54,:22:37,1,2,:01:43,Nov_180 Premium Skil,Nov_Res_Platinum,0,4,14,0,:07:41,:14:02,:00:00,:00:12,:00:42,:00:00,:01:24
11/6/2021,Nov_Bus_Platinum,41,41,41,41,0,0,0,0,0,:08:32,:00:00,:00:00,:00:12,,,0,0,0,0,0,0,0,0,0,0,34,1,1,2,1,0,1,0,0,1,100.00,82.93,.00,85.37,.00,87.80,.00,92.68,.00,95.12,.00,1:25:09,:01:27,1:26:36,:02:44,1:29:20,4,2,:02:17,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,21,20,0,:44:43,:40:26,:00:00,:01:05,:01:39,:00:00,:02:19
11/6/2021,Nov_Bus_Gold,28,28,28,28,0,0,0,0,0,:03:35,:00:00,:00:00,:00:08,,,0,0,0,0,0,0,0,0,0,0,25,1,1,0,0,1,0,0,0,0,100.00,89.29,.00,92.86,.00,96.43,.00,96.43,.00,96.43,.00,1:29:48,:00:50,1:30:38,:01:20,1:31:58,1,1,:00:51,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,7,21,0,:15:46,1:14:02,:00:00,:00:24,:00:56,:00:00,:03:22
11/6/2021,Nov_Bus_Silver,31,31,31,30,1,0,0,0,0,:03:50,:02:18,:00:00,:00:08,:02:18,,0,0,0,0,0,0,0,0,0,1,27,1,1,0,0,0,0,1,0,0,96.77,87.10,3.23,90.32,3.23,93.55,3.23,93.55,3.23,93.55,3.23,1:15:48,:00:06,1:15:54,:01:26,1:17:20,1,1,:02:18,Nov_Bus_S_B_N,Nov_Res_Platinum,0,13,17,0,:40:49,:34:59,:00:00,:00:34,:00:52,:00:00,:02:39
11/6/2021,Nov_Bus_Bronze,2,2,2,2,0,0,0,0,0,:00:12,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:07,:00:00,:03:07,:00:06,:03:13,0,1,:00:07,Nov_Bus_S_B_N,Nov_Res_Platinum,0,0,2,0,:00:00,:03:07,:00:00,:00:00,:00:06,:00:00,:01:40
11/6/2021,Nov_Bus_New,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:04,:00:00,:01:04,:00:06,:01:10,0,1,:00:03,Nov_Bus_S_B_N,Nov_Res_Platinum,0,0,1,0,:00:00,:01:04,:00:00,:00:00,:00:06,:00:00,:01:07
11/6/2021,Nov_Decision_maker,32,32,31,31,1,0,0,0,0,:05:06,:00:02,:00:00,:00:10,:00:02,,1,0,0,0,0,0,0,0,0,0,22,5,2,0,2,0,0,0,0,0,100.00,70.97,.00,87.10,.00,93.55,.00,93.55,.00,100.00,.00,1:12:26,:00:52,1:13:18,:02:23,1:15:41,6,1,:00:49,Nov_Decision_maker,Nov_Res_Platinum,0,12,19,0,:30:03,:42:23,:00:00,:00:45,:01:38,:00:00,:02:27
11/6/2021,Nov_Public/tender_sk,13,13,13,13,0,0,0,0,0,:02:55,:00:00,:00:00,:00:13,,,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,1,0,0,0,0,100.00,76.92,.00,76.92,.00,76.92,.00,92.31,.00,92.31,.00,:29:12,:00:00,:29:12,:00:36,:29:48,1,1,:00:55,Nov_Public/Tender,Nov_Res_Platinum,0,0,13,0,:00:00,:29:12,:00:00,:00:00,:00:36,:00:00,:02:28
11/6/2021,Nov_DVB_Bus_Gold,10,10,10,10,0,0,0,0,0,:04:06,:00:00,:00:00,:00:25,,,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,1,100.00,70.00,.00,70.00,.00,80.00,.00,80.00,.00,80.00,.00,:57:42,:00:00,:57:42,:00:53,:58:35,0,1,:02:17,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,10,0,0,:57:42,:00:00,:00:00,:00:53,:00:00,:00:00,:06:11
