Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,317,317,314,310,7,0,0,0,0,:55:39,:06:00,:00:00,:00:11,:00:51,,3,2,0,0,0,0,0,0,0,2,262,13,6,8,7,1,3,1,3,6,98.73,83.44,1.27,87.58,.64,89.49,.64,92.04,.64,94.27,.64,17:33:29,:02:00,17:35:29,:18:32,17:54:01,34,1,:03:27,,,,237,73,0,14:04:24,3:29:05,:00:00,:15:04,:03:28,:00:00,:03:31
11/10/2021,Nov_180_Premium_queue,19,19,17,17,2,0,0,0,0,:01:20,:01:34,:00:00,:00:05,:00:47,,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:48:30,:00:06,:48:36,:00:48,:49:24,3,1,:01:22,Nov_180 Premium Skil,Nov_Res_Platinum,0,17,0,0,:48:30,:00:00,:00:00,:00:48,:00:00,:00:00,:02:43
11/10/2021,Nov_Bus_Platinum,45,45,45,44,1,0,0,0,0,:06:09,:01:35,:00:00,:00:08,:01:35,,0,0,0,0,0,0,0,0,0,1,39,2,0,0,2,0,0,0,0,1,97.78,86.67,2.22,91.11,2.22,91.11,2.22,91.11,2.22,95.56,2.22,1:54:21,:00:25,1:54:46,:02:01,1:56:47,0,1,:01:48,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,25,19,0,1:08:02,:46:19,:00:00,:01:07,:00:54,:00:00,:02:43
11/10/2021,Nov_Bus_Gold,50,50,50,50,0,0,0,0,0,:06:39,:00:00,:00:00,:00:08,,,0,0,0,0,0,0,0,0,0,0,42,2,3,0,2,1,0,0,0,0,100.00,84.00,.00,88.00,.00,94.00,.00,94.00,.00,98.00,.00,2:13:32,:00:20,2:13:52,:02:29,2:16:21,5,1,:00:52,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,36,14,0,1:37:37,:35:55,:00:00,:01:44,:00:45,:00:00,:02:49
11/10/2021,Nov_Bus_Silver,44,44,44,44,0,0,0,0,0,:08:21,:00:00,:00:00,:00:11,,,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,1,0,1,1,100.00,90.91,.00,90.91,.00,90.91,.00,93.18,.00,93.18,.00,2:31:46,:00:00,2:31:46,:02:04,2:33:50,2,1,:02:48,Nov_Bus_S_B_N,Nov_Res_Platinum,0,37,7,0,2:10:57,:20:49,:00:00,:01:46,:00:18,:00:00,:03:38
11/10/2021,Nov_Bus_Bronze,11,11,11,11,0,0,0,0,0,:02:22,:00:00,:00:00,:00:13,,,0,0,0,0,0,0,0,0,0,0,7,1,1,2,0,0,0,0,0,0,100.00,63.64,.00,72.73,.00,81.82,.00,100.00,.00,100.00,.00,:43:09,:00:00,:43:09,:00:31,:43:40,1,1,:00:40,Nov_Bus_S_B_N,Nov_Res_Platinum,0,6,5,0,:21:24,:21:45,:00:00,:00:16,:00:15,:00:00,:04:08
11/10/2021,Nov_Bus_New,3,3,3,3,0,0,0,0,0,:00:11,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:16:55,:00:00,:16:55,:00:07,:17:02,0,1,:00:04,Nov_Bus_S_B_N,Nov_Res_Platinum,0,2,1,0,:07:39,:09:16,:00:00,:00:05,:00:02,:00:00,:05:42
11/10/2021,Nov_Decision_maker,42,42,42,42,0,0,0,0,0,:03:23,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,40,1,0,0,1,0,0,0,0,0,100.00,95.24,.00,97.62,.00,97.62,.00,97.62,.00,100.00,.00,1:43:04,:01:04,1:44:08,:01:57,1:46:05,9,1,:00:46,Nov_Decision_maker,Nov_Res_Platinum,0,31,11,0,1:21:06,:21:58,:00:00,:01:25,:00:32,:00:00,:02:34
11/10/2021,Nov_Public/tender_sk,13,13,13,13,0,0,0,0,0,:02:06,:00:00,:00:00,:00:10,,,0,0,0,0,0,0,0,0,0,0,9,2,1,1,0,0,0,0,0,0,100.00,69.23,.00,84.62,.00,92.31,.00,100.00,.00,100.00,.00,:46:34,:00:01,:46:35,:00:33,:47:08,3,1,:00:33,Nov_Public/Tender,Nov_Res_Platinum,0,0,13,0,:00:00,:46:34,:00:00,:00:00,:00:33,:00:00,:03:45
11/10/2021,Nov_Transfer_BCC1,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:26,:00:00,:03:26,:00:03,:03:29,0,1,:00:04,Nov_Transfer_BCC1,Nov_Res_Platinum,0,0,1,0,:00:00,:03:26,:00:00,:00:00,:00:03,:00:00,:03:30
