Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,104,104,104,92,12,0,0,0,0,:30:12,:23:07,:00:00,:00:20,:01:56,,0,0,0,1,0,1,0,2,2,6,69,4,4,0,3,1,2,1,0,8,88.46,66.35,11.54,70.19,11.54,74.04,11.54,74.04,10.58,76.92,10.58,3:43:39,:00:02,3:43:41,:04:45,3:48:26,4,1,:03:47,,,,92,0,0,3:43:39,:00:00,:00:00,:04:45,:00:00,:00:00
11/10/2021,Nov_Pre_Gold,4,4,4,4,0,0,0,0,0,:02:24,:00:00,:00:00,:00:36,,,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,100.00,50.00,.00,50.00,.00,75.00,.00,75.00,.00,75.00,.00,:10:24,:00:00,:10:24,:00:14,:10:38,0,1,:01:53,Nov_Prepaid,0,0,4,0,0,:10:24,:00:00,:00:00,:00:14,:00:00,:00:00
11/10/2021,Nov_Pre_Silver,8,8,8,8,0,0,0,0,0,:01:34,:00:00,:00:00,:00:12,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,100.00,87.50,.00,87.50,.00,87.50,.00,87.50,.00,87.50,.00,:17:44,:00:01,:17:45,:00:22,:18:07,2,1,:01:05,Nov_Prepaid,0,0,8,0,0,:17:44,:00:00,:00:00,:00:22,:00:00,:00:00
11/10/2021,Nov_Pre_Bronze,26,26,26,23,3,0,0,0,0,:08:21,:05:37,:00:00,:00:22,:01:52,,0,0,0,1,0,0,0,1,0,1,16,1,1,0,1,1,1,0,0,2,88.46,61.54,11.54,65.38,11.54,69.23,11.54,69.23,7.69,73.08,7.69,:47:08,:00:00,:47:08,:01:14,:48:22,1,1,:03:47,Nov_Prepaid,0,0,23,0,0,:47:08,:00:00,:00:00,:01:14,:00:00,:00:00
11/10/2021,Nov_Pre_ New,15,15,15,13,2,0,0,0,0,:02:11,:05:44,:00:00,:00:10,:02:52,,0,0,0,0,0,0,0,0,0,2,10,1,1,0,1,0,0,0,0,0,86.67,66.67,13.33,73.33,13.33,80.00,13.33,80.00,13.33,86.67,13.33,:16:04,:00:01,:16:05,:00:39,:16:44,1,1,:03:08,Nov_Prepaid,0,0,13,0,0,:16:04,:00:00,:00:00,:00:39,:00:00,:00:00
11/10/2021,Nov_Pre_Tech_Platinu,3,3,3,3,0,0,0,0,0,:04:21,:00:00,:00:00,:01:27,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,100.00,33.33,.00,33.33,.00,33.33,.00,33.33,.00,33.33,.00,:11:45,:00:00,:11:45,:00:08,:11:53,0,1,:02:31,Nov_Prepaid,0,0,3,0,0,:11:45,:00:00,:00:00,:00:08,:00:00,:00:00
11/10/2021,Nov_Pre_Tech_Gold,5,5,5,3,2,0,0,0,0,:00:11,:04:11,:00:00,:00:04,:02:06,,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,60.00,60.00,40.00,60.00,40.00,60.00,40.00,60.00,40.00,60.00,40.00,:09:05,:00:00,:09:05,:00:09,:09:14,0,1,:02:53,Nov_Prepaid,0,0,3,0,0,:09:05,:00:00,:00:00,:00:09,:00:00,:00:00
11/10/2021,Nov_Pre_Tech_Silver,5,5,5,4,1,0,0,0,0,:00:40,:01:25,:00:00,:00:10,:01:25,,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,80.00,60.00,20.00,60.00,20.00,80.00,20.00,80.00,20.00,80.00,20.00,:13:15,:00:00,:13:15,:00:12,:13:27,0,1,:01:25,Nov_Prepaid,0,0,4,0,0,:13:15,:00:00,:00:00,:00:12,:00:00,:00:00
11/10/2021,Nov_Pre_Tech_Bronze,27,27,27,24,3,0,0,0,0,:09:02,:05:18,:00:00,:00:23,:01:46,,0,0,0,0,0,0,0,0,1,2,19,1,0,0,0,0,0,1,0,3,88.89,70.37,11.11,74.07,11.11,74.07,11.11,74.07,11.11,74.07,11.11,1:08:42,:00:00,1:08:42,:01:19,1:10:01,0,1,:02:28,Nov_Prepaid,0,0,24,0,0,1:08:42,:00:00,:00:00,:01:19,:00:00,:00:00
11/10/2021,Nov_Pre_Tech_New,11,11,11,10,1,0,0,0,0,:01:28,:00:52,:00:00,:00:09,:00:52,,0,0,0,0,0,1,0,0,0,0,8,1,0,0,1,0,0,0,0,0,90.91,72.73,9.09,81.82,9.09,81.82,9.09,81.82,9.09,90.91,9.09,:29:32,:00:00,:29:32,:00:28,:30:00,0,1,:00:52,Nov_Prepaid,0,0,10,0,0,:29:32,:00:00,:00:00,:00:28,:00:00,:00:00
