Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,91,91,90,82,9,0,0,0,0,:21:30,:14:33,:00:00,:00:16,:01:37,,1,0,0,1,1,1,1,0,0,4,66,3,2,3,1,2,1,1,0,3,91.11,73.33,8.89,76.67,8.89,78.89,8.89,82.22,7.78,83.33,6.67,3:07:08,:00:03,3:07:11,:03:31,3:10:42,5,1,:04:16,,,,82,0,0,3:07:08,:00:00,:00:00,:03:31,:00:00,:00:00
11/9/2021,Nov_Pre_Platinum,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:53,:00:00,:02:53,:00:02,:02:55,0,1,:00:03,Nov_Prepaid,0,0,1,0,0,:02:53,:00:00,:00:00,:00:02,:00:00,:00:00
11/9/2021,Nov_Pre_Gold,2,2,2,2,0,0,0,0,0,:00:12,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:04:15,:00:00,:04:15,:00:05,:04:20,0,1,:00:09,Nov_Prepaid,0,0,2,0,0,:04:15,:00:00,:00:00,:00:05,:00:00,:00:00
11/9/2021,Nov_Pre_Silver,2,2,2,1,1,0,0,0,0,:00:06,:03:07,:00:00,:00:06,:03:07,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,:01:38,:00:00,:01:38,:00:03,:01:41,0,1,:03:07,Nov_Prepaid,0,0,1,0,0,:01:38,:00:00,:00:00,:00:03,:00:00,:00:00
11/9/2021,Nov_Pre_Bronze,28,28,27,25,3,0,0,0,0,:04:09,:01:19,:00:00,:00:10,:00:26,,1,0,0,1,1,0,0,0,0,0,21,1,0,1,0,1,1,0,0,0,92.59,77.78,7.41,81.48,7.41,81.48,7.41,85.19,3.70,85.19,.00,:47:58,:00:03,:48:01,:01:03,:49:04,4,1,:01:01,Nov_Prepaid,0,0,25,0,0,:47:58,:00:00,:00:00,:01:03,:00:00,:00:00
11/9/2021,Nov_Pre_ New,10,10,10,9,1,0,0,0,0,:02:23,:01:43,:00:00,:00:16,:01:43,,0,0,0,0,0,0,0,0,0,1,5,1,1,1,1,0,0,0,0,0,90.00,50.00,10.00,60.00,10.00,70.00,10.00,80.00,10.00,90.00,10.00,:14:37,:00:00,:14:37,:00:24,:15:01,0,1,:01:43,Nov_Prepaid,0,0,9,0,0,:14:37,:00:00,:00:00,:00:24,:00:00,:00:00
11/9/2021,Nov_Pre_Tech_Gold,4,4,4,3,1,0,0,0,0,:00:12,:02:24,:00:00,:00:04,:02:24,,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,75.00,75.00,25.00,75.00,25.00,75.00,25.00,75.00,25.00,75.00,25.00,:16:04,:00:00,:16:04,:00:07,:16:11,0,1,:02:24,Nov_Prepaid,0,0,3,0,0,:16:04,:00:00,:00:00,:00:07,:00:00,:00:00
11/9/2021,Nov_Pre_Tech_Silver,4,4,4,4,0,0,0,0,0,:00:21,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:07:20,:00:00,:07:20,:00:09,:07:29,0,1,:00:06,Nov_Prepaid,0,0,4,0,0,:07:20,:00:00,:00:00,:00:09,:00:00,:00:00
11/9/2021,Nov_Pre_Tech_Bronze,27,27,27,26,1,0,0,0,0,:11:05,:01:09,:00:00,:00:26,:01:09,,0,0,0,0,0,0,1,0,0,0,21,0,1,0,0,1,0,1,0,2,96.30,77.78,3.70,77.78,3.70,81.48,3.70,81.48,3.70,81.48,3.70,1:01:47,:00:00,1:01:47,:01:09,1:02:56,1,1,:04:16,Nov_Prepaid,0,0,26,0,0,1:01:47,:00:00,:00:00,:01:09,:00:00,:00:00
11/9/2021,Nov_Pre_Tech_New,13,13,13,11,2,0,0,0,0,:02:59,:04:51,:00:00,:00:16,:02:26,,0,0,0,0,0,1,0,0,0,1,8,1,0,1,0,0,0,0,0,1,84.62,61.54,15.38,69.23,15.38,69.23,15.38,76.92,15.38,76.92,15.38,:30:36,:00:00,:30:36,:00:29,:31:05,0,1,:03:54,Nov_Prepaid,0,0,11,0,0,:30:36,:00:00,:00:00,:00:29,:00:00,:00:00
