Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,91,91,91,85,6,0,0,0,0,:29:07,:13:55,:00:00,:00:21,:02:19,,0,0,0,0,0,1,1,0,0,4,66,1,4,1,3,1,4,2,0,3,93.41,72.53,6.59,73.63,6.59,78.02,6.59,79.12,6.59,82.42,6.59,4:25:40,:01:22,4:27:02,:03:51,4:30:53,3,1,:06:09,,,,85,0,0,4:25:40,:00:00,:00:00,:03:51,:00:00,:00:00
10/26/2021,Nov_Pre_Silver,9,9,9,7,2,0,0,0,0,:07:36,:07:09,:00:00,:01:05,:03:34,,0,0,0,0,0,0,0,0,0,2,4,0,1,0,1,0,0,0,0,1,77.78,44.44,22.22,44.44,22.22,55.56,22.22,55.56,22.22,66.67,22.22,:19:02,:01:20,:20:22,:00:21,:20:43,0,1,:06:09,Nov_Prepaid,0,0,7,0,0,:19:02,:00:00,:00:00,:00:21,:00:00,:00:00
10/26/2021,Nov_Pre_Bronze,21,21,21,19,2,0,0,0,0,:04:28,:01:53,:00:00,:00:14,:00:56,,0,0,0,0,0,1,1,0,0,0,16,0,0,0,1,0,0,2,0,0,90.48,76.19,9.52,76.19,9.52,76.19,9.52,76.19,9.52,80.95,9.52,1:15:21,:00:01,1:15:22,:00:51,1:16:13,2,1,:01:20,Nov_Prepaid,0,0,19,0,0,1:15:21,:00:00,:00:00,:00:51,:00:00,:00:00
10/26/2021,Nov_Pre_ New,10,10,10,9,1,0,0,0,0,:02:05,:01:52,:00:00,:00:14,:01:52,,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,1,0,0,0,90.00,70.00,10.00,70.00,10.00,70.00,10.00,80.00,10.00,80.00,10.00,:21:27,:00:00,:21:27,:00:25,:21:52,0,1,:01:52,Nov_Prepaid,0,0,9,0,0,:21:27,:00:00,:00:00,:00:25,:00:00,:00:00
10/26/2021,Nov_Pre_Tech_Platinu,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:20,:00:00,:02:20,:00:02,:02:22,0,1,:00:05,Nov_Prepaid,0,0,1,0,0,:02:20,:00:00,:00:00,:00:02,:00:00,:00:00
10/26/2021,Nov_Pre_Tech_Gold,4,4,4,4,0,0,0,0,0,:00:14,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:18:31,:00:00,:18:31,:00:10,:18:41,0,1,:00:04,Nov_Prepaid,0,0,4,0,0,:18:31,:00:00,:00:00,:00:10,:00:00,:00:00
10/26/2021,Nov_Pre_Tech_Silver,5,5,5,5,0,0,0,0,0,:02:16,:00:00,:00:00,:00:27,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,100.00,60.00,.00,60.00,.00,60.00,.00,60.00,.00,60.00,.00,:14:24,:00:01,:14:25,:00:13,:14:38,1,1,:01:10,Nov_Prepaid,0,0,5,0,0,:14:24,:00:00,:00:00,:00:13,:00:00,:00:00
10/26/2021,Nov_Pre_Tech_Bronze,29,29,29,29,0,0,0,0,0,:11:06,:00:00,:00:00,:00:23,,,0,0,0,0,0,0,0,0,0,0,22,0,2,0,1,0,2,0,0,2,100.00,75.86,.00,75.86,.00,82.76,.00,82.76,.00,86.21,.00,1:23:08,:00:00,1:23:08,:01:19,1:24:27,0,1,:03:41,Nov_Prepaid,0,0,29,0,0,1:23:08,:00:00,:00:00,:01:19,:00:00,:00:00
10/26/2021,Nov_Pre_Tech_New,12,12,12,11,1,0,0,0,0,:01:17,:03:01,:00:00,:00:07,:03:01,,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,91.67,75.00,8.33,83.33,8.33,91.67,8.33,91.67,8.33,91.67,8.33,:31:27,:00:00,:31:27,:00:30,:31:57,0,1,:03:01,Nov_Prepaid,0,0,11,0,0,:31:27,:00:00,:00:00,:00:30,:00:00,:00:00
