Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,109,109,108,104,5,0,0,0,0,:18:09,:13:46,:00:00,:00:10,:02:45,,1,0,0,0,0,0,0,0,0,4,89,3,2,3,1,1,2,1,1,1,96.30,82.41,3.70,85.19,3.70,87.04,3.70,89.81,3.70,90.74,3.70,5:47:20,:00:01,5:47:21,:05:41,5:53:02,12,1,:05:49,,,,104,0,0,5:47:20,:00:00,:00:00,:05:41,:00:00,:00:00
11/4/2021,Nov_Pre_Gold,2,2,2,2,0,0,0,0,0,:00:08,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:04:28,:00:00,:04:28,:00:06,:04:34,1,1,:00:05,Nov_Prepaid,0,0,2,0,0,:04:28,:00:00,:00:00,:00:06,:00:00,:00:00
11/4/2021,Nov_Pre_Silver,7,7,7,5,2,0,0,0,0,:03:48,:09:35,:00:00,:00:46,:04:48,,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,71.43,42.86,28.57,42.86,28.57,42.86,28.57,42.86,28.57,42.86,28.57,:07:02,:00:00,:07:02,:01:13,:08:15,0,1,:05:49,Nov_Prepaid,0,0,5,0,0,:07:02,:00:00,:00:00,:01:13,:00:00,:00:00
11/4/2021,Nov_Pre_Bronze,27,27,27,27,0,0,0,0,0,:04:38,:00:00,:00:00,:00:10,,,0,0,0,0,0,0,0,0,0,0,23,1,0,1,1,0,0,1,0,0,100.00,85.19,.00,88.89,.00,88.89,.00,92.59,.00,96.30,.00,1:27:06,:00:01,1:27:07,:01:15,1:28:22,6,1,:01:16,Nov_Prepaid,0,0,27,0,0,1:27:06,:00:00,:00:00,:01:15,:00:00,:00:00
11/4/2021,Nov_Pre_ New,9,9,9,9,0,0,0,0,0,:00:29,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:38:29,:00:00,:38:29,:00:22,:38:51,2,1,:00:04,Nov_Prepaid,0,0,9,0,0,:38:29,:00:00,:00:00,:00:22,:00:00,:00:00
11/4/2021,Nov_Pre_Tech_Gold,7,7,7,7,0,0,0,0,0,:00:56,:00:00,:00:00,:00:08,,,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,100.00,85.71,.00,85.71,.00,100.00,.00,100.00,.00,100.00,.00,:25:51,:00:00,:25:51,:00:23,:26:14,0,1,:00:28,Nov_Prepaid,0,0,7,0,0,:25:51,:00:00,:00:00,:00:23,:00:00,:00:00
11/4/2021,Nov_Pre_Tech_Silver,3,3,3,3,0,0,0,0,0,:01:09,:00:00,:00:00,:00:23,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,100.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,:21:42,:00:00,:21:42,:00:09,:21:51,1,1,:01:01,Nov_Prepaid,0,0,3,0,0,:21:42,:00:00,:00:00,:00:09,:00:00,:00:00
11/4/2021,Nov_Pre_Tech_Bronze,37,37,36,35,2,0,0,0,0,:04:46,:02:18,:00:00,:00:08,:01:09,,1,0,0,0,0,0,0,0,0,1,30,2,1,1,0,0,1,0,0,0,97.22,83.33,2.78,88.89,2.78,91.67,2.78,94.44,2.78,94.44,2.78,1:45:56,:00:00,1:45:56,:01:23,1:47:19,1,1,:02:14,Nov_Prepaid,0,0,35,0,0,1:45:56,:00:00,:00:00,:01:23,:00:00,:00:00
11/4/2021,Nov_Pre_Tech_New,17,17,17,16,1,0,0,0,0,:02:15,:01:53,:00:00,:00:08,:01:53,,0,0,0,0,0,0,0,0,0,1,14,0,0,1,0,1,0,0,0,0,94.12,82.35,5.88,82.35,5.88,82.35,5.88,88.24,5.88,88.24,5.88,:56:46,:00:00,:56:46,:00:50,:57:36,1,1,:01:53,Nov_Prepaid,0,0,16,0,0,:56:46,:00:00,:00:00,:00:50,:00:00,:00:00
