Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,109,109,108,106,3,0,0,0,0,:14:08,:01:33,:00:00,:00:08,:00:31,,1,1,0,0,0,0,0,1,0,0,93,5,3,1,1,2,0,1,0,0,98.15,86.11,1.85,90.74,.93,93.52,.93,94.44,.93,95.37,.93,6:30:36,:00:21,6:30:57,:11:34,6:42:31,4,2,:01:20,,,,106,0,0,6:30:36,:00:00,:00:00,:11:34,:00:00,:00:00
10/28/2021,Nov_Pre_Platinum,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:02,:00:00,:02:02,:00:02,:02:04,0,1,:00:03,Nov_Prepaid,0,0,1,0,0,:02:02,:00:00,:00:00,:00:02,:00:00,:00:00
10/28/2021,Nov_Pre_Gold,2,2,2,2,0,0,0,0,0,:00:10,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:07:55,:00:11,:08:06,:00:05,:08:11,0,1,:00:06,Nov_Prepaid,0,0,2,0,0,:07:55,:00:00,:00:00,:00:05,:00:00,:00:00
10/28/2021,Nov_Pre_Silver,5,5,5,5,0,0,0,0,0,:00:55,:00:00,:00:00,:00:11,,,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,100.00,80.00,.00,80.00,.00,80.00,.00,100.00,.00,100.00,.00,:15:46,:00:00,:15:46,:00:13,:15:59,1,1,:00:38,Nov_Prepaid,0,0,5,0,0,:15:46,:00:00,:00:00,:00:13,:00:00,:00:00
10/28/2021,Nov_Pre_Bronze,28,28,27,26,2,0,0,0,0,:03:31,:00:13,:00:00,:00:08,:00:06,,1,1,0,0,0,0,0,0,0,0,21,3,1,0,1,0,0,0,0,0,96.30,77.78,3.70,88.89,.00,92.59,.00,92.59,.00,96.30,.00,1:30:12,:00:01,1:30:13,:01:23,1:31:36,2,1,:00:43,Nov_Prepaid,0,0,26,0,0,1:30:12,:00:00,:00:00,:01:23,:00:00,:00:00
10/28/2021,Nov_Pre_ New,5,5,5,5,0,0,0,0,0,:00:25,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:13:10,:00:00,:13:10,:00:15,:13:25,0,1,:00:07,Nov_Prepaid,0,0,5,0,0,:13:10,:00:00,:00:00,:00:15,:00:00,:00:00
10/28/2021,Nov_Pre_Tech_Gold,7,7,7,7,0,0,0,0,0,:01:27,:00:00,:00:00,:00:12,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,100.00,85.71,.00,85.71,.00,85.71,.00,85.71,.00,85.71,.00,:30:04,:00:00,:30:04,:00:20,:30:24,0,1,:01:00,Nov_Prepaid,0,0,7,0,0,:30:04,:00:00,:00:00,:00:20,:00:00,:00:00
10/28/2021,Nov_Pre_Tech_Silver,15,15,15,15,0,0,0,0,0,:01:59,:00:00,:00:00,:00:08,,,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,100.00,93.33,.00,93.33,.00,93.33,.00,93.33,.00,93.33,.00,1:08:32,:00:00,1:08:32,:00:43,1:09:15,0,1,:00:57,Nov_Prepaid,0,0,15,0,0,1:08:32,:00:00,:00:00,:00:43,:00:00,:00:00
10/28/2021,Nov_Pre_Tech_Bronze,28,28,28,28,0,0,0,0,0,:02:43,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,25,2,1,0,0,0,0,0,0,0,100.00,89.29,.00,96.43,.00,100.00,.00,100.00,.00,100.00,.00,1:34:03,:00:09,1:34:12,:07:45,1:41:57,1,2,:00:27,Nov_Prepaid,0,0,28,0,0,1:34:03,:00:00,:00:00,:07:45,:00:00,:00:00
10/28/2021,Nov_Pre_Tech_New,18,18,18,17,1,0,0,0,0,:02:55,:01:20,:00:00,:00:10,:01:20,,0,0,0,0,0,0,0,1,0,0,15,0,1,0,0,0,0,1,0,0,94.44,83.33,5.56,83.33,5.56,88.89,5.56,88.89,5.56,88.89,5.56,1:08:52,:00:00,1:08:52,:00:48,1:09:40,0,1,:01:20,Nov_Prepaid,0,0,17,0,0,1:08:52,:00:00,:00:00,:00:48,:00:00,:00:00
