Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,115,115,114,112,3,0,0,0,0,:33:29,:02:23,:00:00,:00:18,:00:48,,1,0,0,1,0,0,0,0,0,1,91,6,2,3,1,0,0,2,0,7,98.25,79.82,1.75,85.09,1.75,86.84,1.75,89.47,.88,90.35,.88,4:47:49,:00:01,4:47:50,:05:18,4:53:08,5,1,:03:51,,,,112,0,0,4:47:49,:00:00,:00:00,:05:18,:00:00,:00:00
11/11/2021,Nov_Pre_Gold,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:16,:00:00,:01:16,:00:03,:01:19,0,1,:00:03,Nov_Prepaid,0,0,1,0,0,:01:16,:00:00,:00:00,:00:03,:00:00,:00:00
11/11/2021,Nov_Pre_Silver,2,2,2,2,0,0,0,0,0,:00:06,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:19,:00:00,:03:19,:00:06,:03:25,0,1,:00:04,Nov_Prepaid,0,0,2,0,0,:03:19,:00:00,:00:00,:00:06,:00:00,:00:00
11/11/2021,Nov_Pre_Bronze,27,27,27,26,1,0,0,0,0,:10:03,:01:49,:00:00,:00:23,:01:49,,0,0,0,0,0,0,0,0,0,1,22,0,0,0,1,0,0,0,0,3,96.30,81.48,3.70,81.48,3.70,81.48,3.70,81.48,3.70,85.19,3.70,1:01:07,:00:00,1:01:07,:01:09,1:02:16,1,1,:02:52,Nov_Prepaid,0,0,26,0,0,1:01:07,:00:00,:00:00,:01:09,:00:00,:00:00
11/11/2021,Nov_Pre_ New,10,10,10,10,0,0,0,0,0,:00:55,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,100.00,80.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:12:06,:00:00,:12:06,:00:34,:12:40,1,1,:00:13,Nov_Prepaid,0,0,10,0,0,:12:06,:00:00,:00:00,:00:34,:00:00,:00:00
11/11/2021,Nov_Pre_Tech_Platinu,2,2,2,2,0,0,0,0,0,:00:11,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:40,:00:00,:03:40,:00:06,:03:46,0,1,:00:07,Nov_Prepaid,0,0,2,0,0,:03:40,:00:00,:00:00,:00:06,:00:00,:00:00
11/11/2021,Nov_Pre_Tech_Silver,12,12,12,12,0,0,0,0,0,:05:23,:00:00,:00:00,:00:27,,,0,0,0,0,0,0,0,0,0,0,8,0,1,2,0,0,0,0,0,1,100.00,66.67,.00,66.67,.00,75.00,.00,91.67,.00,91.67,.00,:22:59,:00:01,:23:00,:00:33,:23:33,2,1,:03:18,Nov_Prepaid,0,0,12,0,0,:22:59,:00:00,:00:00,:00:33,:00:00,:00:00
11/11/2021,Nov_Pre_Tech_Bronze,44,44,43,42,2,0,0,0,0,:14:17,:00:34,:00:00,:00:20,:00:17,,1,0,0,1,0,0,0,0,0,0,35,2,0,0,0,0,0,2,0,3,97.67,81.40,2.33,86.05,2.33,86.05,2.33,86.05,.00,86.05,.00,2:18:46,:00:00,2:18:46,:01:58,2:20:44,1,1,:03:51,Nov_Prepaid,0,0,42,0,0,2:18:46,:00:00,:00:00,:01:58,:00:00,:00:00
11/11/2021,Nov_Pre_Tech_New,17,17,17,17,0,0,0,0,0,:02:31,:00:00,:00:00,:00:09,,,0,0,0,0,0,0,0,0,0,0,13,2,1,1,0,0,0,0,0,0,100.00,76.47,.00,88.24,.00,94.12,.00,100.00,.00,100.00,.00,:44:36,:00:00,:44:36,:00:49,:45:25,0,1,:00:38,Nov_Prepaid,0,0,17,0,0,:44:36,:00:00,:00:00,:00:49,:00:00,:00:00
