Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,91,91,90,88,3,0,0,0,0,:16:48,:03:17,:00:00,:00:11,:01:06,,1,0,0,0,0,0,0,0,1,1,77,3,3,0,2,0,1,0,0,2,97.78,85.56,2.22,88.89,2.22,92.22,2.22,92.22,2.22,94.44,2.22,4:34:41,:01:25,4:36:06,:04:53,4:40:59,1,1,:04:19,,,,88,0,0,4:34:41,:00:00,:00:00,:04:53,:00:00,:00:00
10/23/2021,Nov_Pre_Gold,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:04:50,:00:00,:04:50,:00:03,:04:53,0,1,:00:05,Nov_Prepaid,0,0,1,0,0,:04:50,:00:00,:00:00,:00:03,:00:00,:00:00
10/23/2021,Nov_Pre_Bronze,14,14,14,14,0,0,0,0,0,:01:02,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,100.00,92.86,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:56:01,:00:00,:56:01,:00:37,:56:38,1,1,:00:11,Nov_Prepaid,0,0,14,0,0,:56:01,:00:00,:00:00,:00:37,:00:00,:00:00
10/23/2021,Nov_Pre_ New,23,23,22,21,2,0,0,0,0,:06:16,:01:52,:00:00,:00:18,:00:56,,1,0,0,0,0,0,0,0,0,1,18,1,1,0,0,0,0,0,0,1,95.45,81.82,4.55,86.36,4.55,90.91,4.55,90.91,4.55,90.91,4.55,:50:25,:00:00,:50:25,:01:55,:52:20,0,1,:04:19,Nov_Prepaid,0,0,21,0,0,:50:25,:00:00,:00:00,:01:55,:00:00,:00:00
10/23/2021,Nov_Pre_Tech_Platinu,4,4,4,4,0,0,0,0,0,:00:13,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:16:10,:01:25,:17:35,:00:14,:17:49,0,1,:00:04,Nov_Prepaid,0,0,4,0,0,:16:10,:00:00,:00:00,:00:14,:00:00,:00:00
10/23/2021,Nov_Pre_Tech_Gold,6,6,6,6,0,0,0,0,0,:00:25,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:18:50,:00:00,:18:50,:00:17,:19:07,0,1,:00:07,Nov_Prepaid,0,0,6,0,0,:18:50,:00:00,:00:00,:00:17,:00:00,:00:00
10/23/2021,Nov_Pre_Tech_Silver,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:47,:00:00,:00:47,:00:03,:00:50,0,1,:00:04,Nov_Prepaid,0,0,1,0,0,:00:47,:00:00,:00:00,:00:03,:00:00,:00:00
10/23/2021,Nov_Pre_Tech_Bronze,31,31,31,31,0,0,0,0,0,:07:15,:00:00,:00:00,:00:14,,,0,0,0,0,0,0,0,0,0,0,25,1,2,0,1,0,1,0,0,1,100.00,80.65,.00,83.87,.00,90.32,.00,90.32,.00,93.55,.00,1:39:38,:00:00,1:39:38,:01:19,1:40:57,0,1,:02:42,Nov_Prepaid,0,0,31,0,0,1:39:38,:00:00,:00:00,:01:19,:00:00,:00:00
10/23/2021,Nov_Pre_Tech_New,11,11,11,10,1,0,0,0,0,:01:28,:01:25,:00:00,:00:09,:01:25,,0,0,0,0,0,0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,90.91,81.82,9.09,81.82,9.09,81.82,9.09,81.82,9.09,90.91,9.09,:28:00,:00:00,:28:00,:00:25,:28:25,0,1,:01:25,Nov_Prepaid,0,0,10,0,0,:28:00,:00:00,:00:00,:00:25,:00:00,:00:00
