Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,82,82,82,77,5,0,0,0,0,:22:46,:07:18,:00:00,:00:18,:01:28,,0,0,0,0,0,0,0,2,1,2,63,2,2,1,2,0,1,0,1,5,93.90,76.83,6.10,79.27,6.10,81.71,6.10,82.93,6.10,85.37,6.10,2:30:40,:00:02,2:30:42,:03:53,2:34:35,3,1,:04:08,,,,77,0,0,2:30:40,:00:00,:00:00,:03:53,:00:00,:00:00
10/30/2021,Nov_Pre_Gold,4,4,4,4,0,0,0,0,0,:00:39,:00:00,:00:00,:00:10,,,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,100.00,75.00,.00,75.00,.00,100.00,.00,100.00,.00,100.00,.00,:06:34,:00:00,:06:34,:00:12,:06:46,0,1,:00:23,Nov_Prepaid,0,0,4,0,0,:06:34,:00:00,:00:00,:00:12,:00:00,:00:00
10/30/2021,Nov_Pre_Silver,6,6,6,4,2,0,0,0,0,:00:13,:02:41,:00:00,:00:03,:01:20,,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,66.67,66.67,33.33,66.67,33.33,66.67,33.33,66.67,33.33,66.67,33.33,:07:01,:00:00,:07:01,:00:09,:07:10,0,1,:01:29,Nov_Prepaid,0,0,4,0,0,:07:01,:00:00,:00:00,:00:09,:00:00,:00:00
10/30/2021,Nov_Pre_Bronze,20,20,20,18,2,0,0,0,0,:02:13,:02:58,:00:00,:00:07,:01:29,,0,0,0,0,0,0,0,1,0,1,17,0,0,0,0,0,1,0,0,0,90.00,85.00,10.00,85.00,10.00,85.00,10.00,85.00,10.00,85.00,10.00,:33:10,:00:01,:33:11,:00:48,:33:59,1,1,:01:42,Nov_Prepaid,0,0,18,0,0,:33:10,:00:00,:00:00,:00:48,:00:00,:00:00
10/30/2021,Nov_Pre_ New,9,9,9,9,0,0,0,0,0,:01:33,:00:00,:00:00,:00:10,,,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,100.00,77.78,.00,88.89,.00,88.89,.00,88.89,.00,100.00,.00,:22:55,:00:01,:22:56,:00:31,:23:27,1,1,:00:45,Nov_Prepaid,0,0,9,0,0,:22:55,:00:00,:00:00,:00:31,:00:00,:00:00
10/30/2021,Nov_Pre_Tech_Gold,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:34,:00:00,:01:34,:00:03,:01:37,0,1,:00:05,Nov_Prepaid,0,0,1,0,0,:01:34,:00:00,:00:00,:00:03,:00:00,:00:00
10/30/2021,Nov_Pre_Tech_Silver,9,9,9,9,0,0,0,0,0,:07:34,:00:00,:00:00,:00:50,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,100.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,:18:48,:00:00,:18:48,:00:22,:19:10,1,1,:04:08,Nov_Prepaid,0,0,9,0,0,:18:48,:00:00,:00:00,:00:22,:00:00,:00:00
10/30/2021,Nov_Pre_Tech_Bronze,26,26,26,26,0,0,0,0,0,:09:30,:00:00,:00:00,:00:22,,,0,0,0,0,0,0,0,0,0,0,21,0,0,1,1,0,0,0,0,3,100.00,80.77,.00,80.77,.00,80.77,.00,84.62,.00,88.46,.00,:47:21,:00:00,:47:21,:01:34,:48:55,0,1,:02:39,Nov_Prepaid,0,0,26,0,0,:47:21,:00:00,:00:00,:01:34,:00:00,:00:00
10/30/2021,Nov_Pre_Tech_New,7,7,7,6,1,0,0,0,0,:00:59,:01:39,:00:00,:00:10,:01:39,,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,85.71,57.14,14.29,71.43,14.29,85.71,14.29,85.71,14.29,85.71,14.29,:13:17,:00:00,:13:17,:00:14,:13:31,0,1,:01:39,Nov_Prepaid,0,0,6,0,0,:13:17,:00:00,:00:00,:00:14,:00:00,:00:00
