Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,113,112,111,105,7,1,1,1,0,:29:45,:14:47,:00:21,:00:17,:02:07,:00:21,1,0,0,0,0,0,1,1,0,4,90,2,1,1,0,0,1,4,0,6,94.59,81.08,5.41,82.88,5.41,83.78,5.41,84.68,5.41,84.68,5.41,6:04:40,:00:01,6:04:41,:05:16,6:09:57,6,2,:05:50,,,,105,0,0,6:04:40,:00:00,:00:00,:05:16,:00:00,:00:00
11/3/2021,Nov_Pre_Gold,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:20,:00:00,:01:20,:00:02,:01:22,0,1,:00:03,Nov_Prepaid,0,0,1,0,0,:01:20,:00:00,:00:00,:00:02,:00:00,:00:00
11/3/2021,Nov_Pre_Silver,10,9,9,9,0,1,1,1,0,:03:54,:00:00,:00:21,:00:26,,:00:21,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,100.00,77.78,.00,77.78,.00,77.78,.00,77.78,.00,77.78,.00,:22:28,:00:00,:22:28,:00:24,:22:52,4,1,:02:03,Nov_Prepaid,0,0,9,0,0,:22:28,:00:00,:00:00,:00:24,:00:00,:00:00
11/3/2021,Nov_Pre_Bronze,23,23,22,19,4,0,0,0,0,:01:13,:10:41,:00:00,:00:04,:02:40,,1,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,86.36,86.36,13.64,86.36,13.64,86.36,13.64,86.36,13.64,86.36,13.64,:47:09,:00:01,:47:10,:00:50,:48:00,1,1,:05:50,Nov_Prepaid,0,0,19,0,0,:47:09,:00:00,:00:00,:00:50,:00:00,:00:00
11/3/2021,Nov_Pre_ New,14,14,14,14,0,0,0,0,0,:00:57,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,1:23:30,:00:00,1:23:30,:00:36,1:24:06,0,1,:00:06,Nov_Prepaid,0,0,14,0,0,1:23:30,:00:00,:00:00,:00:36,:00:00,:00:00
11/3/2021,Nov_Pre_Tech_Gold,4,4,4,4,0,0,0,0,0,:03:54,:00:00,:00:00,:00:58,,,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,100.00,50.00,.00,75.00,.00,75.00,.00,75.00,.00,75.00,.00,:17:55,:00:00,:17:55,:00:15,:18:10,0,1,:03:35,Nov_Prepaid,0,0,4,0,0,:17:55,:00:00,:00:00,:00:15,:00:00,:00:00
11/3/2021,Nov_Pre_Tech_Silver,19,19,19,19,0,0,0,0,0,:06:29,:00:00,:00:00,:00:20,,,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,0,0,0,2,100.00,78.95,.00,84.21,.00,84.21,.00,89.47,.00,89.47,.00,1:03:49,:00:00,1:03:49,:00:47,1:04:36,0,1,:02:56,Nov_Prepaid,0,0,19,0,0,1:03:49,:00:00,:00:00,:00:47,:00:00,:00:00
11/3/2021,Nov_Pre_Tech_Bronze,24,24,24,23,1,0,0,0,0,:08:48,:01:03,:00:00,:00:23,:01:03,,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,1,2,0,1,95.83,79.17,4.17,79.17,4.17,79.17,4.17,79.17,4.17,79.17,4.17,1:29:03,:00:00,1:29:03,:01:17,1:30:20,0,2,:03:55,Nov_Prepaid,0,0,23,0,0,1:29:03,:00:00,:00:00,:01:17,:00:00,:00:00
11/3/2021,Nov_Pre_Tech_New,17,17,17,15,2,0,0,0,0,:04:21,:03:03,:00:00,:00:17,:01:32,,0,0,0,0,0,0,0,1,0,1,12,0,1,0,0,0,0,1,0,1,88.24,70.59,11.76,70.59,11.76,76.47,11.76,76.47,11.76,76.47,11.76,:39:00,:00:00,:39:00,:01:02,:40:02,1,1,:01:56,Nov_Prepaid,0,0,15,0,0,:39:00,:00:00,:00:00,:01:02,:00:00,:00:00
11/3/2021,Nov_RONA_Prepaid,1,1,1,1,0,0,0,0,0,:00:06,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:26,:00:00,:00:26,:00:03,:00:29,0,1,:00:06,Nov_Prepaid,0,0,1,0,0,:00:26,:00:00,:00:00,:00:03,:00:00,:00:00
